paper_id,method_id,provisional_role,verification_state,evidence_location,search_id,status,notes
P-2010-0071,M-SPATIAL-012,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19364721,SEARCH-20260720-PUBMED-FAMILY-SPATIAL-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0029,M-SIMULATION-013,originates,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19683069,SEARCH-20260720-PUBMED-FAMILY-FORECASTING-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0030,M-SURVEILLANCE-017,originates,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19692208,SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0083,M-SURVEILLANCE-028,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19723619,SEARCH-20260720-PUBMED-FAMILY-SIMULATION-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0037,M-FORECASTING-045,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19769990,SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-02,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0045,M-SURVEILLANCE-033,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19793405,SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0076,M-CAUSAL-021,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19832710,SEARCH-20260720-PUBMED-FAMILY-CAUSAL-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0086,M-SURVEILLANCE-063,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19858534,SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0060,M-SPATIAL-016,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19864468,SEARCH-20260720-PUBMED-FAMILY-SPATIAL-02,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0043,M-SPATIAL-012,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19875250,SEARCH-20260720-PUBMED-FAMILY-SPATIAL-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0032,M-SURVEILLANCE-028,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19914739,SEARCH-20260720-PUBMED-FAMILY-SIMULATION-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0056,M-CAUSAL-024,originates,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19934191,SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01|SEARCH-20260720-PUBMED-VENUE-SURVEILLANCE-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0066,M-SURVEILLANCE-015,diagnoses,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19935116,SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0061,M-SPATIAL-016,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:19965886,SEARCH-20260720-PUBMED-FAMILY-SPATIAL-02,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0052,M-CAUSAL-021,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:20001537,SEARCH-20260720-PUBMED-VENUE-CAUSAL-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0058,M-FORECASTING-008,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:20007674,SEARCH-20260720-PUBMED-VENUE-FORECASTING-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0057,M-SURVEILLANCE-036,originates,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:20007675,SEARCH-20260720-PUBMED-VENUE-SURVEILLANCE-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0038,M-SIMULATION-002,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:20031239,SEARCH-20260720-PUBMED-FAMILY-SIMULATION-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0053,M-SURVEILLANCE-062,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:20053137,SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-02,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0080,M-SURVEILLANCE-036,originates,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:20053861,SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0099,M-FORECASTING-030,originates,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:20056004,SEARCH-20260720-PUBMED-FAMILY-FORECASTING-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0117,M-FORECASTING-003,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:20067745,SEARCH-20260720-PUBMED-VENUE-FORECASTING-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
P-2010-0079,M-SPATIAL-001,applies,discovery,title and complete available abstract in canonical_method_assignments.csv for PMID:20075214,SEARCH-20260720-PUBMED-VENUE-SPATIAL-01,not_authoritative_until_primary_source_verification,Provisional semantic assignment only; no normalized authoritative relationship is asserted.
