method_label,canonical_name,family,assigned_record_count,method_source_candidate_count,correction_candidate_count,diagnostic_candidate_count,guidance_candidate_count,implementation_candidate_count,infectious_application_candidate_count,selected_named_source_ids,selected_source_roles,attempt_outcome,notes
adaptive_multi_arm_multi_stage_cluster_randomized_trial,Adaptive multi-arm multi-stage cluster randomized trial,causal_policy,1,0,0,0,0,0,1,NS-CAUSAL-001,infectious_application,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
applied_randomized_intervention_studies,Applied randomized intervention studies,causal_policy,5,1,0,0,0,0,4,NS-CAUSAL-002|NS-CAUSAL-003,authoritative_candidate|infectious_application,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
bayesian_data_fusion_for_pooled_sampling_prevalence,Bayesian data fusion for pooled-sampling prevalence,causal_policy,1,1,0,0,0,0,0,NS-CAUSAL-004,authoritative_candidate,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
bridged_treatment_comparison_data_fusion,Bridged treatment comparison via data fusion,causal_policy,1,1,0,0,0,0,0,NS-CAUSAL-005,authoritative_candidate,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
intervention_and_economic_decision_models,Causal and economic evaluations under incomplete ascertainment,causal_policy,6,1,0,0,0,0,5,NS-CAUSAL-006|NS-CAUSAL-007,authoritative_candidate|infectious_application,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
causal_interference_estimands,Causal estimands for vaccination under transmission interference,causal_policy,1,1,0,0,0,0,0,NS-CAUSAL-008,authoritative_candidate,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
causal_mediation_analysis,Causal mediation analysis,causal_policy,8,2,0,0,0,0,6,NS-CAUSAL-009|NS-CAUSAL-010,authoritative_candidate|infectious_application,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
causal_methods_comparison_guidance,Causal-design comparison and reporting guidance,causal_policy,1,1,0,0,0,0,0,NS-CAUSAL-011,authoritative_candidate,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
clinical_early_warning_scores_and_biomarkers,Clinical early-warning scores and biomarkers,causal_policy,95,12,0,61,3,0,19,NS-CAUSAL-012|NS-CAUSAL-013,authoritative_candidate|infectious_application,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
cluster_randomized_intervention_trials,Cluster-randomized intervention trial designs,causal_policy,2,0,0,0,0,0,2,NS-CAUSAL-014|NS-CAUSAL-015,infectious_application|infectious_application,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
comparative_policy_impact_cohort,Comparative policy-impact cohort evaluation,causal_policy,1,0,0,0,0,0,1,NS-CAUSAL-016,infectious_application,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
comparative_screening_priority_risk_assessment,Comparative screening-priority risk assessment,causal_policy,1,0,0,0,0,0,1,NS-CAUSAL-017,infectious_application,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
controlled_interrupted_time_series,Controlled interrupted time series,causal_policy,36,1,0,0,0,0,35,NS-CAUSAL-018|NS-CAUSAL-019,authoritative_candidate|infectious_application,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
counterfactual_policy_vaccination_impact,Counterfactual policy and vaccination impact models,causal_policy,18,2,0,0,0,0,16,NS-CAUSAL-020|NS-CAUSAL-021,authoritative_candidate|infectious_application,concrete_retained_sources_preregistered,All assigned records were inspected in Step 1. A retained method-source is treated only as an authoritative candidate; retained applied seeds are concrete infectious applications. No unobserved citation or concept-label title was invented. Additional roles were selected only within the native two-digit per-family query-ID namespace.
