method_id,canonical_name,family,verification_state,card_path,notes
M-CAUSAL-001,Adaptive multi-arm multi-stage cluster randomized trial,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-001.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-002,Applied randomized intervention studies,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-002.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-003,Bayesian data fusion for pooled-sampling prevalence,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-003.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-004,Bridged treatment comparison via data fusion,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-004.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-005,Causal and economic evaluations under incomplete ascertainment,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-005.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-006,Causal estimands for vaccination under transmission interference,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-006.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-007,Causal mediation analysis,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-007.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-008,Causal-design comparison and reporting guidance,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-008.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-009,Clinical early-warning scores and biomarkers,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-009.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-010,Cluster-randomized intervention trial designs,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-010.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-011,Comparative policy-impact cohort evaluation,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-011.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-012,Comparative screening-priority risk assessment,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-012.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-013,Controlled interrupted time series,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-013.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-014,Counterfactual policy and vaccination impact models,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-014.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-015,Covariate-adjusted historical-control borrowing,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-015.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-016,External synthetic control arms,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-016.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-017,Heterogeneity-robust staggered difference-in-differences,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-017.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-018,Hidden-population size estimation,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-018.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-019,Instrumental-variable designs,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-019.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-020,Integrated public-health-intelligence synthesis,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-020.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-021,Interrupted time series and segmented regression,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-021.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-022,Intervention impact evaluations,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-022.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-023,Legacy difference-in-differences and event-study designs,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-023.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-024,Marginal structural models and inverse-probability weighting,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-024.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-025,Multi-source epidemic-risk assessment framework,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-025.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
M-CAUSAL-026,Multi-source machine-learning risk assessment,causal_policy,discovery,01_search/method_discovery_records/M-CAUSAL-026.md,Canonical Task 6 discovery concept; lineage and substantive method claims remain unverified.
