candidate_key,waves,wave_source_row_sha256s,screening_path,final_decision,final_proposed_record_type,final_reason_code,duplicate_disposition
PMID:19364721,wave_01,wave_01:324a3d0e5960840d0e618854435a5fdf119404f042b28fb4015ad6228707673c,wave_01_frozen_queries/screened_candidates.csv,include_simulation_or_mechanistic_lead,applied_seed,I_SIMULATION_MECHANISTIC,
PMID:19594433,wave_01,wave_01:1b6d82644512e3dc32cba70d2fddffa14f44ee91837def52cec5f4afdd1b7bc8,wave_01_frozen_queries/screened_candidates.csv,exclude,,X_DESCRIPTIVE_ONLY,
PMID:19683069,wave_01,wave_01:758b9f15c28dcda3af31b9625996cf00bffbeb4abda2926355929de91f85df2b,wave_01_frozen_queries/screened_candidates.csv,include_simulation_or_mechanistic_lead,method_source,I_SIMULATION_MECHANISTIC,
PMID:19692208,wave_01,wave_01:b8432d9a940ac14ebb8aab9a039921ab6ffce909055648e35d7ccaf454af232a,wave_01_frozen_queries/screened_candidates.csv,include_method_source_lead,method_source,I_METHOD_SOURCE,
PMID:19723619,wave_01,wave_01:7bf9ad51e8ae5e1764478e9660670e20412d3d9a658bbef31e560bb9f049c9bf,wave_01_frozen_queries/screened_candidates.csv,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,
PMID:19751799,wave_01,wave_01:428e49cd7bb523d977e3d8365e2e9b806055e17f781ad6b6bd66c9ca0926a2b2,wave_01_frozen_queries/screened_candidates.csv,exclude,,X_DESCRIPTIVE_ONLY,
PMID:19769990,wave_02,wave_02:326db6dbde379063c9b1374cc2bfa9bb031a6174dccd3a6e6ff65993514aebe8,wave_02_synonym_expansion/screened_candidates.csv,include_simulation_or_mechanistic_lead,applied_seed,I_SIMULATION_MECHANISTIC,
PMID:19793405,wave_01,wave_01:2a812699ef8c2a355b83c6dc6f7ab59dda9bd0ad607ab9a49b1f03b57fa90eb1,wave_01_frozen_queries/screened_candidates.csv,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,
PMID:19832710,wave_01,wave_01:c853acb9542c790392f1d4f1e86572476e6b9236f1d28b160a07f2aeb6d0c548,wave_01_frozen_queries/screened_candidates.csv,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,
PMID:19837088,wave_01,wave_01:f33e0942faf8865c3816497b0928bb1310001b460966031be675933cc6bae2de,wave_01_frozen_queries/screened_candidates.csv,exclude,,X_DESCRIPTIVE_ONLY,
PMID:19858534,wave_01,wave_01:745a7bcd3623f7c659d63c0665169fc1f680bbd30d388a7e50037b66cc746eab,wave_01_frozen_queries/screened_candidates.csv,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,
PMID:19864468,wave_02,wave_02:8dbee28d155c9009733250dff6d1e7887cf000ebb88215676cefde3cba2b6a7b,wave_02_synonym_expansion/screened_candidates.csv,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,
PMID:19875250,wave_01,wave_01:9bfb5080c013a6d75fc6a3e3fb066d83fe5776110b3826ebf88559a1cc27b643,wave_01_frozen_queries/screened_candidates.csv,include_simulation_or_mechanistic_lead,applied_seed,I_SIMULATION_MECHANISTIC,
PMID:19910382,wave_02,wave_02:daeb385ea591c5865b0f763d24cda7535e4ad5bf0584e66e89e4d40c0b3e9b0f,wave_02_synonym_expansion/screened_candidates.csv,exclude,,X_NOT_INFECTIOUS_TRANSFERABLE,
PMID:19914739,wave_01,wave_01:fa0b58eb584226048fce62e401c2da5f388a4b59b9d2d28deec28c19a30bcad9,wave_01_frozen_queries/screened_candidates.csv,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,
PMID:19934191,wave_01,wave_01:eb7ee04d17ce4cf77dd907e82cc3ac84ec84326c1b0aebf98d6dc86ba98bf6aa,wave_01_frozen_queries/screened_candidates.csv,include_method_source_lead,method_source,I_METHOD_SOURCE,
PMID:19935116,wave_01,wave_01:c890c43512c4bff1c1bba9b59489d088145372759c9e6ebf041b1677ea2e4615,wave_01_frozen_queries/screened_candidates.csv,include_diagnostic_or_correction_lead,diagnostic,I_DIAGNOSTIC_CORRECTION,
PMID:19965886,wave_02,wave_02:4c75b3d0c92aaf4e0b6d43e67d822f2d1afe7409d9d8a4a4b9abfe9df3a0648b,wave_02_synonym_expansion/screened_candidates.csv,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,
PMID:20001537,wave_01,wave_01:7e32b76922286990fa226909543b06d49144c5b7081a03413e9372d07f1125b3,wave_01_frozen_queries/screened_candidates.csv,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,
PMID:20007674,wave_01,wave_01:3f5cb99cbe3561187d9374f9e1703533c3d5036a0743a4b84d7e2e62eb96e8f3,wave_01_frozen_queries/screened_candidates.csv,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,
PMID:20007675,wave_01,wave_01:b8d1176d239b9fd5cbff7f0afbc672d379acdf0352cd67f34eb235078898f303,wave_01_frozen_queries/screened_candidates.csv,include_method_source_lead,method_source,I_METHOD_SOURCE,
PMID:20026700,wave_01,wave_01:58ce90557bb60ac11eb0a20d03aa50661f1f48f7e3cc220550f3e54d93fe0ab4,wave_01_frozen_queries/screened_candidates.csv,exclude,,X_COMMENTARY_ONLY,
