candidate_key,query_id,named_source_id,candidate_rank,pmid,doi,title,year,journal,authors,source_url,raw_path,raw_sha256
PMID:30601823,SEARCH-20260720-LINEAGE-CAUSAL-01,NS-CAUSAL-001,1,30601823,10.1371/journal.pmed.1002719,"HIV self-testing alone or with additional interventions, including financial incentives, and linkage to care or prevention among male partners of antenatal care clinic attendees in Malawi: An adaptive multi-arm, multi-stage cluster randomised trial.",2019,PLoS medicine,Augustine T Choko; Elizabeth L Corbett; Nigel Stallard; Hendramoorthy Maheswaran; Aurelia Lepine; Cheryl C Johnson; Doreen Sakala; Thokozani Kalua; Moses Kumwenda; Richard Hayes; Katherine Fielding,https://pubmed.ncbi.nlm.nih.gov/30601823/,raw/SEARCH-20260720-LINEAGE-CAUSAL-01.efetch.000000000-000000000.xml,4f998696866b1d9acb4c045a8f8591d5352e6e097029559cb856d35eb7e8bc32
PMID:34491227,SEARCH-20260720-LINEAGE-CAUSAL-02,NS-CAUSAL-002,1,34491227,10.4269/ajtmh.20-0254,An Adaptive Intervention Trial Design for Finding the Optimal Integrated Strategies for Malaria Control and Elimination in Africa: A Model Simulation Study.,2021,The American journal of tropical medicine and hygiene,Guofa Zhou; Ming-Chieh Lee; Xiaoming Wang; Daibin Zhong; Elizabeth Hemming-Schroeder; Guiyun Yan,https://pubmed.ncbi.nlm.nih.gov/34491227/,raw/SEARCH-20260720-LINEAGE-CAUSAL-02.efetch.000000000-000000000.xml,25b7ea93bba2ebb38a8c8f49c57a9509038a9736d293adaf4f69a11867988b75
PMID:23757082,SEARCH-20260720-LINEAGE-CAUSAL-03,NS-CAUSAL-003,1,23757082,10.1001/jama.2013.6287,Effect of an outpatient antimicrobial stewardship intervention on broad-spectrum antibiotic prescribing by primary care pediatricians: a randomized trial.,2013,JAMA,Jeffrey S Gerber; Priya A Prasad; Alexander G Fiks; A Russell Localio; Robert W Grundmeier; Louis M Bell; Richard C Wasserman; Ron Keren; Theoklis E Zaoutis,https://pubmed.ncbi.nlm.nih.gov/23757082/,raw/SEARCH-20260720-LINEAGE-CAUSAL-03.efetch.000000000-000000000.xml,e06f804e3dc5c42125c3ced02c7269fcc2362687020a4cf5d4f7171d5ee90c81
PMID:34707835,SEARCH-20260720-LINEAGE-CAUSAL-04,NS-CAUSAL-004,1,34707835,10.1002/ece3.8107,Estimating viral prevalence with data fusion for adaptive two-phase pooled sampling.,2021,Ecology and evolution,Andrew Hoegh; Alison J Peel; Wyatt Madden; Manuel Ruiz Aravena; Aaron Morris; Alex Washburne; Raina K Plowright,https://pubmed.ncbi.nlm.nih.gov/34707835/,raw/SEARCH-20260720-LINEAGE-CAUSAL-04.efetch.000000000-000000000.xml,ea466d04e5506270c032fb5468224b51b15730c37a78e6ca752aae757ab500ba
PMID:39218437,SEARCH-20260720-LINEAGE-CAUSAL-05,NS-CAUSAL-005,1,39218437,10.1093/aje/kwae340,Bridged treatment comparisons: an illustrative application in HIV treatment.,2025,American journal of epidemiology,Paul N Zivich; Stephen R Cole; Jessie K Edwards; Bonnie E Shook-Sa; Alexander Breskin; Michael G Hudgens,https://pubmed.ncbi.nlm.nih.gov/39218437/,raw/SEARCH-20260720-LINEAGE-CAUSAL-05.efetch.000000000-000000000.xml,58037da259c8a0bcea309911e443174f0475738f6d7c6adbf79acbf7f4627d3f
PMID:20976213,SEARCH-20260720-LINEAGE-CAUSAL-06,NS-CAUSAL-006,1,20976213,10.1371/journal.pone.0013392,Cost-effectiveness of adolescent pertussis vaccination for the Netherlands: using an individual-based dynamic model.,2010,PloS one,Robin de Vries; Mirjam Kretzschmar; Joop F P Schellekens; Florens G A Versteegh; Tjalke A Westra; John J Roord; Maarten J Postma,https://pubmed.ncbi.nlm.nih.gov/20976213/,raw/SEARCH-20260720-LINEAGE-CAUSAL-06.efetch.000000000-000000000.xml,ea0e9def082c146658cd5f614b6e27aae5fa0193417d8e1a294d0e43b8d2ca2f
PMID:20728761,SEARCH-20260721-LINEAGE-CAUSAL-07,NS-CAUSAL-007,1,20728761,10.1016/j.clinthera.2010.07.017,Cost-effectiveness analysis of various pertussis vaccination strategies primarily aimed at protecting infants in the Netherlands.,2010,Clinical therapeutics,Tjalke A Westra; Robin de Vries; Johannes J Tamminga; Christophe J Sauboin; Maarten J Postma,https://pubmed.ncbi.nlm.nih.gov/20728761/,raw/SEARCH-20260721-LINEAGE-CAUSAL-07.efetch.000000000-000000000.xml,b3a67d1ee0a68c49bebe46497d5183a96e87e7e4eb5cdce6f259d3d1c518e6cc
PMID:41570185,SEARCH-20260721-LINEAGE-CAUSAL-08,NS-CAUSAL-008,1,41570185,10.1097/ede.0000000000001953,Defining and Estimating Outcomes Directly Averted by a Vaccination Program when Rollout Occurs Over Time.,2026,"Epidemiology (Cambridge, Mass.)",Katherine M Jia; Christopher B Boyer; Alyssa Bilinski; Marc Lipsitch,https://pubmed.ncbi.nlm.nih.gov/41570185/,raw/SEARCH-20260721-LINEAGE-CAUSAL-08.efetch.000000000-000000001.xml,46fb532762329956c8a14939c367dad1f70ae6a2e5856830b5a354a4ef2fa55e
PMID:41281223,SEARCH-20260721-LINEAGE-CAUSAL-08,NS-CAUSAL-008,2,41281223,10.1001/jamanetworkopen.2021.42725,Defining and Estimating Outcomes Directly Averted by a Vaccination Program when Rollout Occurs Over Time.,2025,ArXiv,Katherine M Jia; Christopher B Boyer; Alyssa Bilinski; Marc Lipsitch,https://pubmed.ncbi.nlm.nih.gov/41281223/,raw/SEARCH-20260721-LINEAGE-CAUSAL-08.efetch.000000000-000000001.xml,46fb532762329956c8a14939c367dad1f70ae6a2e5856830b5a354a4ef2fa55e
PMID:35071157,SEARCH-20260720-LINEAGE-CAUSAL-09,NS-CAUSAL-009,1,35071157,10.3389/fpubh.2021.757942,G-Computation to Causal Mediation Analysis With Sequential Multiple Mediators-Investigating the Vulnerable Time Window of HBV Activity for the Mechanism of HCV Induced Hepatocellular Carcinoma.,2021,Frontiers in public health,An-Shun Tai; Yen-Tsung Huang; Hwai-I Yang; Lauren V Lan; Sheng-Hsuan Lin,https://pubmed.ncbi.nlm.nih.gov/35071157/,raw/SEARCH-20260720-LINEAGE-CAUSAL-09.efetch.000000000-000000000.xml,f6bcce906f73de797faacf50f0f64b6beb4bf016a6238dfc74251658ddf56711
