query_id,named_source_id,method_label,canonical_name,family,source_role,source,query_variant,query,seed_candidate_keys,reviewer
SEARCH-20260722-LINEAGE-CAUSAL-115,NS-CAUSAL-015,cluster_randomized_intervention_trials,Cluster-randomized intervention trial designs,causal_policy,infectious_application,pubmed,exact_title,Multi[Title] AND faceted[Title] AND intervention[Title] AND improve[Title] AND management[Title] AND antibiotics[Title] AND children[Title] AND presenting[Title] AND primary[Title] AND care[Title] AND acute[Title] AND cough[Title] AND respiratory[Title] AND tract[Title] AND infection[Title] AND CHICO[Title] AND efficient[Title] AND cluster[Title] AND randomised[Title] AND controlled[Title] AND trial[Title],PMID:37100446,task6-lineage-active-clean-exact-v2
SEARCH-20260722-LINEAGE-CAUSAL-121,NS-CAUSAL-020,counterfactual_policy_vaccination_impact,Counterfactual policy and vaccination impact models,causal_policy,authoritative_candidate,pubmed,exact_title,COVID[Title] AND 19[Title] AND underreporting[Title] AND its[Title] AND impact[Title] AND vaccination[Title] AND strategies[Title],PMID:34711190,task6-lineage-active-clean-exact-v2
SEARCH-20260722-LINEAGE-CAUSAL-122,NS-CAUSAL-020,counterfactual_policy_vaccination_impact,Counterfactual policy and vaccination impact models,causal_policy,authoritative_candidate,pubmed,title_first_author,underreporting[Title] AND vaccination[Title] AND strategies[Title] AND impact[Title] AND Albani[Author],PMID:34711190,task6-lineage-title-author-v3-supplement
SEARCH-20260722-LINEAGE-CAUSAL-126,NS-CAUSAL-024,heterogeneity_robust_staggered_did,Heterogeneity-robust staggered difference-in-differences,causal_policy,infectious_application,pubmed,exact_title,Long[Title] AND Term[Title] AND Effectiveness[Title] AND Financial[Title] AND Incentives[Title] AND Not[Title] AND Prescribing[Title] AND Unnecessary[Title] AND Antibiotics[Title] AND Children[Title] AND Acute[Title] AND Respiratory[Title] AND Gastrointestinal[Title] AND Infections[Title] AND Japan[Title] AND s[Title] AND Nationwide[Title] AND Quasi[Title] AND Experimental[Title] AND Study[Title],PMID:39579079,task6-lineage-active-clean-exact-v2
SEARCH-20260722-LINEAGE-CAUSAL-137,NS-CAUSAL-033,intervention_impact_evaluations,Intervention impact evaluations,causal_policy,infectious_application,pubmed,exact_title,Impact[Title] AND conjugate[Title] AND 7[Title] AND valent[Title] AND vaccination[Title] AND Belgium[Title] AND addressing[Title] AND methodological[Title] AND challenges[Title],PMID:21342667,task6-lineage-active-clean-exact-v2
SEARCH-20260722-LINEAGE-CAUSAL-142,NS-CAUSAL-036,marginal_structural_models,Marginal structural models and inverse-probability weighting,causal_policy,authoritative_candidate,pubmed,exact_title,Using[Title] AND marginal[Title] AND structural[Title] AND measurement[Title] AND error[Title] AND models[Title] AND estimate[Title] AND long[Title] AND term[Title] AND effect[Title] AND antiretroviral[Title] AND therapy[Title] AND incident[Title] AND AIDS[Title] AND death[Title],PMID:19934191,task6-lineage-active-clean-exact-v2
SEARCH-20260722-LINEAGE-CAUSAL-148,NS-CAUSAL-042,negative_controls,Negative-control designs,causal_policy,authoritative_candidate,pubmed,exact_title,Characterizing[Title] AND vaccine[Title] AND associated[Title] AND risks[Title] AND using[Title] AND cubic[Title] AND smoothing[Title] AND splines[Title],PMID:23100246,task6-lineage-active-clean-exact-v2
SEARCH-20260722-LINEAGE-CAUSAL-156,NS-CAUSAL-048,time_to_event_cohort_studies,Observational time-to-event cohort designs,causal_policy,infectious_application,pubmed,exact_title,Long[Title] AND term[Title] AND Cardiovascular[Title] AND Cerebrovascular[Title] AND Other[Title] AND Thrombotic[Title] AND Complications[Title] AND COVID[Title] AND 19[Title] AND Survivors[Title] AND Retrospective[Title] AND Cohort[Title] AND Study[Title],PMID:37746872,task6-lineage-active-clean-exact-v2
SEARCH-20260722-LINEAGE-CAUSAL-158,NS-CAUSAL-050,quasi_experimental_policy_evaluation,Other quasi-experimental policy-evaluation designs,causal_policy,infectious_application,pubmed,exact_title,2016[Title] AND California[Title] AND policy[Title] AND eliminate[Title] AND nonmedical[Title] AND vaccine[Title] AND exemptions[Title] AND changes[Title] AND coverage[Title] AND empirical[Title] AND analysis[Title],PMID:31869328,task6-lineage-active-clean-exact-v2
SEARCH-20260722-LINEAGE-CAUSAL-163,NS-CAUSAL-054,policy_impact_and_economic_evaluations,Policy-impact and economic evaluation studies,causal_policy,authoritative_candidate,pubmed,exact_title,Save[Title] AND lives[Title] AND livelihoods[Title] AND cross[Title] AND country[Title] AND analysis[Title] AND COVID[Title] AND 19[Title] AND pandemic[Title] AND economic[Title] AND growth[Title],PMID:35287307,task6-lineage-active-clean-exact-v2
SEARCH-20260722-LINEAGE-CAUSAL-172,NS-CAUSAL-061,quantile_based_g_computation,Quantile-based g-computation for exposure mixtures,causal_policy,infectious_application,pubmed,exact_title,Multilayer[Title] AND factors[Title] AND associated[Title] AND excess[Title] AND all[Title] AND cause[Title] AND mortality[Title] AND during[Title] AND omicron[Title] AND non[Title] AND waves[Title] AND COVID[Title] AND 19[Title] AND pandemic[Title] AND time[Title] AND series[Title] AND analysis[Title] AND 29[Title] AND countries[Title],PMID:38308279,task6-lineage-active-clean-exact-v2
SEARCH-20260722-LINEAGE-CAUSAL-173,NS-CAUSAL-061,quantile_based_g_computation,Quantile-based g-computation for exposure mixtures,causal_policy,infectious_application,pubmed,title_first_author,Multilayer[Title] AND associated[Title] AND mortality[Title] AND countries[Title] AND Zou[Author],PMID:38308279,task6-lineage-title-author-v3-supplement
SEARCH-20260722-LINEAGE-CAUSAL-174,NS-CAUSAL-062,quasi_experimental_methods_overview,Quasi-experimental design overviews,causal_policy,authoritative_candidate,pubmed,exact_title,Use[Title] AND Quasi[Title] AND experimental[Title] AND Designs[Title] AND Vaccine[Title] AND Evaluation[Title],PMID:30346524,task6-lineage-active-clean-exact-v2
SEARCH-20260722-LINEAGE-CAUSAL-181,NS-CAUSAL-068,surveillance_risk_factor_analysis,Risk-factor analyses using surveillance data,causal_policy,infectious_application,pubmed,exact_title,Factors[Title] AND associated[Title] AND tick[Title] AND bites[Title] AND pathogen[Title] AND prevalence[Title] AND ticks[Title] AND parasitizing[Title] AND humans[Title] AND Georgia[Title] AND USA[Title],PMID:26935205,task6-lineage-active-clean-exact-v2
SEARCH-20260722-LINEAGE-CAUSAL-182,NS-CAUSAL-069,causal_risk_and_intervention_studies,Risk-factor and intervention studies with reporting-bias implications,causal_policy,authoritative_candidate,pubmed,exact_title,Inference[Title] AND under[Title] AND superspreading[Title] AND Determinants[Title] AND SARS[Title] AND CoV[Title] AND 2[Title] AND transmission[Title] AND Germany[Title],PMID:38422989,task6-lineage-active-clean-exact-v2
