concept_label,canonical_name,family
agent_based_models,Agent-based and individual-based models,simulation_methods
alternative_surveillance_data_streams,Alternative surveillance data streams,surveillance_measurement
ascertainment_correction_hidden_burden,Ascertainment correction and hidden-burden estimation,surveillance_measurement
auxiliary_signal_nowcasting,Auxiliary-signal nowcasting,surveillance_measurement
bayesian_spatiotemporal_models,Bayesian spatiotemporal disease models,spatial_transmission
bias_adjustment_and_risk_models,Bias-adjustment and risk-estimation methods,simulation_methods
border_discontinuity_designs,Spatial border-discontinuity designs,spatial_transmission
burden_estimation_with_underreporting_adjustment,Burden estimation with underreporting adjustment,surveillance_measurement
capture_recapture,Capture-recapture estimation,surveillance_measurement
case_series_exposure_timing_error,Self-controlled case-series models with exposure-timing error,surveillance_measurement
causal_risk_and_intervention_studies,Risk-factor and intervention studies with reporting-bias implications,causal_policy
changepoint_detection,Change-point detection,forecasting_dynamics
community_active_infection_surveillance,Community active infection surveillance,surveillance_measurement
contact_network_models,Contact-network transmission models,spatial_transmission
controlled_interrupted_time_series,Controlled interrupted time series,causal_policy
counterfactual_policy_vaccination_impact,Counterfactual policy and vaccination impact models,causal_policy
denominator_population_sensitivity,Denominator and population-at-risk sensitivity,evidence_synthesis
descriptive_spatial_clustering,Descriptive spatial and space-time clustering,spatial_transmission
descriptive_surveillance_pattern_analyses,Descriptive surveillance pattern analyses,surveillance_measurement
diagnostic_accuracy_calibration,Diagnostic-accuracy and test-calibration methods,surveillance_measurement
diagnostic_case_definition_validity,"Diagnostic, case-definition, and reporting-validity studies",surveillance_measurement
difference_in_differences_event_study,Legacy difference-in-differences and event-study designs,causal_policy
early_warning_signals,Early-warning signals,forecasting_dynamics
ecological_niche_species_distribution,Ecological-niche and species-distribution models,spatial_transmission
endemic_epidemic_models,Endemic-epidemic spatiotemporal models,spatial_transmission
ensemble_forecasting,Ensemble forecasting,forecasting_dynamics
environmental_digital_surveillance,Environmental and digital complementary surveillance,surveillance_measurement
epidemic_monitoring_and_nowcasting,Epidemic monitoring and near-real-time forecasting methods,forecasting_dynamics
estimator_operating_characteristics,Estimator operating-characteristic simulation studies,simulation_methods
evidence_robustness_methods,Other evidence-synthesis and robustness methods,evidence_synthesis
evidence_syntheses_on_burden_and_reporting,"Evidence syntheses on burden, surveillance, and reporting gaps",evidence_synthesis
evidence_synthesis_reviews,Evidence syntheses and methodological reviews,evidence_synthesis
forecast_calibration_evaluation,Forecast calibration and evaluation,forecasting_dynamics
forecasting_dynamics_models,Other infectious-disease forecasting and dynamics models,forecasting_dynamics
genomic_and_spatiotemporal_transmission_analysis,Genomic and spatiotemporal transmission analysis,spatial_transmission
