candidate_key,source_row_sha256,final_decision,final_proposed_record_type,final_reason_code,title,year,authors,abstract,search_ids,preliminary_families,source_url,provisional_concept_label,provisional_canonical_name,provisional_family,routing_evidence,routing_status
PMID:25074591,1fc5e98a17704b6490700edc45bdcc7351c3d5010770001840fc4d7ae174fa49,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,Sentinel surveillance of influenza in Burkina Faso: identification of circulating strains during 2010-2012.,2014,Zékiba Tarnagda; Issaka Yougbaré; Abdoul K Ilboudo; Thérèse Kagoné; Armel M Sanou; Assana Cissé; Isaïe Médah; Denis Yelbéogo; Ndahwouh Talla Nzussouo,"Although influenza surveillance has recently been improved in some sub-Saharan African countries, no information is yet available from Burkina Faso. Our study was the first to determine the prevalence of influenza viruses circulating in Burkina Faso through a sentinel surveillance system. We conducted sentinel surveillance with oropharyngeal (OP) swabs collected from outpatients (1 month to 83 years) from six sites in Bobo-Dioulasso and Ouagadougou, among patients meeting the WHO/CDC case definition for influenza-like illness (ILI; fever ≥38°C, and cough and/or sore throat in the absence of other diagnosis) from July 2010 to May 2012. Influenza viruses were detected by real-time RT-PCR using CDC primers, probes, and protocols. The first three ILI cases were enrolled each day; of 881 outpatients with ILI enrolled and sampled, 58 (6.6%) tested positive for influenza viruses (29 influenza A and 29 influenza B). Among the influenza A viruses, 55.2% (16/29) were influenza A (H1N1)pdm09 and 44.8% (13/29) were seasonal A (H3N2). No cases of seasonal A/H1N1 were detected. Patients within 0-5 years and 6-14 years were the most affected, comprising 41.4% and 22.4% laboratory-confirmed influenza cases, respectively. Influenza infections occurred during both the dry, dusty Harmattan months from November to March and the rainy season from June to October with peaks in January and August. This surveillance was the first confirming the circulation of influenza A (H1N1)pdm09, A/H3N2, and influenza B viruses in humans in Burkina Faso.",SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01,surveillance_measurement,https://pubmed.ncbi.nlm.nih.gov/25074591/,sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement,title and complete available abstract,pending_independent_semantic_review
PMID:25074676,7093c5e0b2975f2a8437d113ee3969f863757d7678d68132e9886e3c193b89fa,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,"Surveillance of hepatitis A virus in urban sewages and comparison with cases notified in the course of an outbreak, Italy 2013.",2014,Giuseppina La Rosa; Simonetta Della Libera; Marcello Iaconelli; Anna Rita Ciccaglione; Roberto Bruni; Stefania Taffon; Michele Equestre; Valeria Alfonsi; Caterina Rizzo; Maria Elena Tosti; Maria Chironna; Luisa Romanò; Alessandro Remo Zanetti; Michele Muscillo,"Over the past 20 years, Hepatitis A notifications in Italy have been in decline. Since the beginning of 2013 however, Italy has been experiencing a foodborne hepatitis A outbreak caused by genotype IA, involving hundreds of cases. Consumption of frozen mixed berries was deemed the potential vehicle of infection.We aimed to investigate the spread of hepatitis A virus (HAV) in Italy through the monitoring of urban sewages collected at Wastewater Treatment Plants (WTPs) and a subsequent comparison of environmental surveillance data with data from the clinical surveillance performed during the epidemic. The study covered 15 months, from July 2012 to September 2013, comprising the outbreak and the preceding six months. Environmental surveillance consisted of the analysis of urban sewage samples collected at 19 WTPs in seven of the Italian regions most affected by the epidemic. HAV isolates were detected and typed using a nested RT-PCR targeting the VP1/2A junction. Parallel clinical surveillance was performed by the sentinel surveillance system for acute viral hepatitis (SEIEVA) and by the ministerial Central Task Force on Hepatitis A, established with the purpose of determining the source of the outbreak and adopting appropriate outbreak control strategies. A total of 38/157 wastewater samples (24.2%) were positive for HAV, 16 collected in 2012 and 22 in 2013. Several HAV strains were detected, including the IA variant implicated in the outbreak and isolated from clinical cases over the same period. The vast majority of sequences belonged to genotype IB. Interestingly however, although these included variants related to strains that had been involved in past Italian epidemics, none were detected in recent clinical samples, probably due to underreporting or asymptomatic circulation. Conversely, a number of sequences were identified in clinical samples that were not found in wastewaters. The percentage of sewage samples detected as HAV-positive in this study are consistent with the classification of Italy as a country with low/intermediate endemicity. A combined environmental/clinical surveillance is able to provide a more complete picture of the spread of HAV and of the genotypes circulating in the population, allowing a better understanding of changes in disease trends.",SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-02,surveillance_measurement,https://pubmed.ncbi.nlm.nih.gov/25074676/,sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement,title and complete available abstract,pending_independent_semantic_review
PMID:25239536,1574f26043bc308f8a80036aab44bda36214a649fbc49ab0c94e699374340725,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,Implementation of influenza-like illness sentinel surveillance in Togo.,2014,Issaka Maman; Kossi Badziklou; Essoya D Landoh; Afiwa W Halatoko; Talla N Nzussouo; Gabriel N Defang; Tsidi A Tamekloe; Pamela J Kennedy; Williams Thelma; Komlan Kossi; Zoulkarneiri Issa; Abiba B Kere,"The emergence of avian influenza A/H5N1 in 2003 as well as the pandemic influenza A (H1N1) pdm09 highlighted the need to establish influenza sentinel surveillance in Togo. The Ministry of Health decided to introduce Influenza to the list of diseases with epidemic potential. By April 2010, Togo was actively involved in influenza surveillance. This study aims to describe the implementation of ILI surveillance and results obtained from April 2010 to December 2012. Two sites were selected based on their accessibility and affordability to patients, their adequate specimen storage capacity and transportation system. Patients with ILI presenting at sentinel sites were enrolled by trained medical staff based on the World Health Organization (WHO) case definitions. Oropharyngeal and nasopharyngeal samples were collected and they were tested at the National Influenza Reference Laboratory using a U.S. Centers for Disease Control and Prevention (CDC) validated real time RT-PCR protocol. Laboratory results and epidemiological data were reported weekly and shared with all sentinel sites, Ministry of Health, Division of Epidemiology, WHO and CDC/NAMRU-3. From April 2010 to December 2012, a total of 955 samples were collected with 52% of the study population aged between 0 and 4 years. Of the 955 samples, 236 (24.7%) tested positive for influenza viruses; with 136 (14.2%) positive for influenza A and 100 (10.5%) positive for influenza B. The highest influenza positive percentage (30%) was observed in 5-14 years old and patients aged 0-4 and >60 years had the lowest percentage (20%). Clinical symptoms such as cough and rhinorrhea were associated more with ILI patients who were positive for influenza type A than influenza type B. Influenza viruses circulated throughout the year with the positivity rate peaking around the months of January, May and again in October; corresponding respectively to the dry-dusty harmattan season and the long and then the short raining season. The pandemic A (H1N1) pdm09 was the predominantly circulating strain in 2010 while influenza B was the predominantly circulating strain in 2011. The seasonal A/H3N2 was observed throughout 2012 year. This study provides information on influenza epidemiology in the capital city of Togo.",SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01,surveillance_measurement,https://pubmed.ncbi.nlm.nih.gov/25239536/,sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement,title and complete available abstract,pending_independent_semantic_review
PMID:25260391,dce82e4d8e02594ab1e516205ff3967d39bf8d8ea873eb542050d21eaaca0cda,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,[Influenza sentinel surveillance network improvement in Senegal and results].,2015,D Thiam; M Niang; N Dia; F D Sarr; D Goudiab; M-L Senghor; D Kiori; T Faye; E Espié; I O Ba; V Richard,"Influenza surveillance in Senegal was initially restricted to the identification of circulating strains. The network has recently been enhanced (i) to include epidemiological data from Dakar and other regions and (ii) to extend virological surveillance to other respiratory viruses. Epidemiological data from the sentinel sites is transmitted daily by mobile phone. The data include those for other febrile syndromes similar to influenza-like illnesses (ILI), corresponding to integrated approach. Also, clinical samples are randomly selected and analyzed for influenza and other respiratory viruses. There were 180,192 declared visits to the 11 sentinel sites between week 11-2012 and week 52-2013; 24% of the visits were for fever syndromes and 25% of the cases of fever syndrome were ILI. Rhinoviruses were the most frequent cause of ILI (19%), before adenoviruses (18%), enteroviruses (18%) and influenza A viruses (13%). Co-circulation and co-infection were frequent and were responsible for ILI peaks. In conclusion, it is clear that the greatest advantage of this system is the ease with which it can be implemented, thanks to the availability of mobile phones and mobile phone networks. We recommend this solution for other African countries, because it performs very well and provides rapid benefits in terms of public health decision-making. Au Sénégal, la surveillance de la grippe s’est longtemps limitée à l’identification des virus circulants. Récemment, le réseau de surveillance a été renforcé avec des données épidémiologiques de Dakar et d’autres régions et l’extension de la surveillance virologique à d’autres virus respiratoires. La transmission des données se fait sur un rythme quotidien grâce à la téléphonie mobile. Dans une approche intégrée, en plus des syndromes grippaux, l’ensemble des syndromes fébriles est déclaré. Pour la partie biologique, des prélèvements sont réalisés de façon aléatoire pour la recherche des virus respiratoires grippaux et autres. Au total 180 192 consultations ont été déclarées par les 11 sites sentinelles entre la semaine 11 de 2012 et la semaine 52 de 2013 ; 24%des consultations étaient des syndromes fébriles et 25% de ces derniers des syndromes grippaux. Les rhinovirus ont été l’étiologie la plus fréquente des syndromes grippaux (19%) devant les adénovirus (18 %), les entérovirus (18 %) et les virus grippaux de type A (13 %). Co-circulation et co-infection ont été fréquemment retrouvées et étaient responsables de pics de syndromes grippaux. En conclusion, il est clair qu’un des grands avantages de ce système repose sur sa facilité de mise en œuvre, grâce à la téléphonie mobile et à l’extension des réseaux de téléphonie mobile. Nous recommandons cette solution pour les autres pays africains car il fonctionne très bien et fournit rapidement des résultats pour la prise de décision en santé publique.",SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01,surveillance_measurement,https://pubmed.ncbi.nlm.nih.gov/25260391/,sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement,title and complete available abstract,pending_independent_semantic_review
PMID:25323077,6b650570481e459323bf4f53d4c187705b42a440a7f497e03aec5999d319cf80,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,Epidemiology of pertussis in Italy: disease trends over the last century.,2014,M V Gonfiantini; E Carloni; F Gesualdo; E Pandolfi; E Agricola; E Rizzuto; S Iannazzo; M L Ciofi Degli Atti; A Villani; A E Tozzi,"We reviewed the epidemiology of pertussis in Italy over the last 125 years to identify disease trends and factors that could have influenced these trends. We described mortality rates (1888-2012), case fatality rates (1925-2012), cumulative incidence rates (1925-2013) and age-specific incidence rates (1974-2013). We compared data from routine surveillance with data from a paediatric sentinel surveillance system to estimate under-notification. Pertussis mortality decreased from 42.5 per 100,000 population in 1890 to no reported pertussis-related death after 2002. Incidence decreased from 86.3 per 100,000 in 1927 to 1 per 100,000 after 2008. Vaccine coverage increased from 32.8% in 1993 to about 96% after 2006. As for under-notification, mean sentinel/routine surveillance incidence ratio increased with age (from 1.8 in <1 year-olds to 12.9 in 10-14 year-olds). Pertussis mortality decreased before the introduction of immunisation. Incidence has decreased only after the introduction of pertussis vaccine and in particular after the achievement of a high immunisation coverage with acellular vaccines. Routine surveillance does not show an increase in cumulative incidence nor in ≥ 15 year-olds as reported by other countries. Underrecognition because of atypical presentation and the infrequent use of laboratory tests may be responsible for under-notification, and therefore affect incidence reports and management of immunisation programmes.",SEARCH-20260720-PUBMED-VENUE-SURVEILLANCE-01,surveillance_measurement,https://pubmed.ncbi.nlm.nih.gov/25323077/,sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement,title and complete available abstract,pending_independent_semantic_review
PMID:25326088,e2d384f286295b5015daeb82a5bfe861a15caf27aaf2e48127bf5fda285a4453,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,Improvement of antibiotic prescription in outpatient care: a cluster-randomized intervention study using a sentinel surveillance network of physicians.,2015,David Hürlimann; Andreas Limacher; Maria Schabel; Giorgio Zanetti; Christoph Berger; Kathrin Mühlemann; Andreas Kronenberg; Swiss Sentinel Working Group,"To assess the effectiveness of implementing guidelines, coupled with individual feedback, on antibiotic prescribing behaviour of primary care physicians in Switzerland. One hundred and forty general practices from a representative Swiss sentinel network of primary care physicians participated in this cluster-randomized prospective intervention study. The intervention consisted of providing guidelines on treatment of respiratory tract infections (RTIs) and uncomplicated lower urinary tract infections (UTIs), coupled with sustained, regular feedback on individual antibiotic prescription behaviour during 2 years. The main aims were: (i) to increase the percentage of prescriptions of penicillins for all RTIs treated with antibiotics; (ii) to increase the percentage of trimethoprim/sulfamethoxazole prescriptions for all uncomplicated lower UTIs treated with antibiotics; (iii) to decrease the percentage of quinolone prescriptions for all cases of exacerbated COPD (eCOPD) treated with antibiotics; and (iv) to decrease the proportion of sinusitis and other upper RTIs treated with antibiotics. The study was registered at ClinicalTrials.gov (NCT01358916). While the percentage of antibiotics prescribed for sinusitis or other upper RTIs and the percentage of quinolones prescribed for eCOPD did not differ between the intervention group and the control group, there was a significant increase in the percentage of prescriptions of penicillins for all RTIs treated with antibiotics [57% versus 49%, OR=1.42 (95% CI 1.08-1.89), P=0.01] and in the percentage of trimethoprim/sulfamethoxazole prescriptions for all uncomplicated lower UTIs treated with antibiotics [35% versus 19%, OR=2.16 (95% CI 1.19-3.91), P=0.01] in the intervention group. In our setting, implementing guidelines, coupled with sustained individual feedback, was not able to reduce the proportion of sinusitis and other upper RTIs treated with antibiotics, but increased the use of recommended antibiotics for RTIs and UTIs, as defined by the guidelines.",SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01,surveillance_measurement,https://pubmed.ncbi.nlm.nih.gov/25326088/,sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement,title and complete available abstract,pending_independent_semantic_review
PMID:25352692,aa501905741a206546362be42d1fad96d78624a1d9f0399b6c6a7b98b8064101,include_diagnostic_or_correction_lead,diagnostic,I_DIAGNOSTIC_CORRECTION,Frequency and correlates of culture-positive infection with Neisseria gonorrhoeae in England: a review of sentinel surveillance data.,2015,Hamish Mohammed; Catherine A Ison; Chinelo Obi; Stephanie Chisholm; Michelle Cole; Nerteley Quaye; Gwenda Hughes; GRASP Collaborative Group,"Reference laboratories are increasingly using more sensitive rapid molecular techniques, such as nucleic acid amplification tests (NAATs), to diagnose infections with Neisseria gonorrhoeae. We determined the proportion of patients at sentinel genitourinary medicine clinics in England whose NAAT-positive diagnoses were also culture-positive for N. gonorrhoeae, and investigated whether they differed from those that were not. Behavioural and clinical data from all NAAT-positive patients reported from 23 clinics included in the Gonoccocal Resistance to Antimicrobials Surveillance Programme from July to September 2012 were included in this analysis. Unadjusted and adjusted associations between patient characteristics and culture-positive infection with N. gonorrhoeae were determined. Of 3076 NAAT-positive patients, 46.4% had culture-positive infections. Most NAAT-positive patients were <35 years old (73.0%), white (67.9%), and men who had sex with men (60.1%). Women and men who had sex with men were less likely than heterosexual men to have culture-positive infections (adjusted OR (95% CI) 0.53 (0.41 to 0.68), p<0.001; and 0.74 (0.59 to 0.93), p=0.010, respectively), while those who were symptomatic (4.61 (3.92 to 5.42), p<0.001), and those presenting with infection at multiple sites (2.15 (1.76 to 2.62), p<0.001) were more likely to have culture-positive infections. Although gonococcal isolates were available from almost half of the NAAT-positive patients, culture was not attempted or may have failed in the remainder. Patients with culture-positive isolates were not representative of all NAAT-positive patients. Routine culture is necessary for monitoring emerging antimicrobial resistance and to inform gonorrhoea treatment guidelines.",SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01,surveillance_measurement,https://pubmed.ncbi.nlm.nih.gov/25352692/,sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement,title and complete available abstract,pending_independent_semantic_review
PMID:25420664,57e88d09b746805a47d5d84c90175a4ae856c9d9d2792e8aafd7913118c955bb,include_diagnostic_or_correction_lead,diagnostic,I_DIAGNOSTIC_CORRECTION,Evaluation of estimated number of influenza patients from national sentinel surveillance using the national database of electronic medical claims.,2015,Yuuki Nakamura; Tamie Sugawara; Hirokazu Kawanohara; Yasushi Ohkusa; Miwako Kamei; Kazunori Oishi,"Officially, the national official sentinel surveillance of infectious diseases (NOSSID) has been used to estimate the number of influenza patients nationwide; NOSSID is based on the Law Concerning the Prevention of Infectious Diseases and Medical Care for Patients of Infections (the Infectious Diseases Control Law). Prescription Surveillance (PS) has also provided a numerical estimate of influenza patients. This study compared these 2 estimations using NOSSID and PS with the numbers of influenza patients from all electronic medical claims (NDBEMC), which had the nearly-comprehensive data from surveys. Results showed that the estimate from NOSSID was about twice the estimate from the NDBEMC. However, the estimated number from the PS was almost equivalent to that from the NDBEMC. The estimated number of patients from NOSSID might not be precise, but NOSSID itself may be useful to monitor influenza trends.",SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01,surveillance_measurement,https://pubmed.ncbi.nlm.nih.gov/25420664/,sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement,title and complete available abstract,pending_independent_semantic_review
PMID:25425512,49c9e55b53a45a16270a0599ef8e9c0a09cde75fe1e61f1fe7009f4abf4a0776,include_diagnostic_or_correction_lead,diagnostic,I_DIAGNOSTIC_CORRECTION,"Evaluation of the surveillance system for undiagnosed serious infectious illness (USII) in intensive care units, England, 2011 to 2013.",2014,G Dabrera; B Said; H Kirkbride; USII Collaborating Group,"Emerging infections are a potential risk during mass gathering events due to the congregation of large numbers of international travellers. To mitigate this risk for the London 2012 Olympic and Paralympic Games, a sentinel surveillance system was developed to identify clusters of emerging infections presenting as undiagnosed serious infectious illness (USII) in intensive care units (ICUs). Following a six month pilot period, which had begun in January 2011, the surveillance was operational for a further 18 months spanning the Games. The surveillance system and reported USII cases were reviewed and evaluated after this 18 month operational period including assessment of positive predictive value (PPV), timeliness, acceptability and sensitivity of the system. Surveillance records were used to review reported cases and calculate the PPV and median reporting times of USII surveillance. Sensitivity was assessed through comparison with the pilot period. Participating clinicians completed a five-point Likert scale questionnaire about the acceptability of surveillance. Between 11 July 2011 and 10 January 2013, 34 cases were reported. Of these, 22 remained classified as USII at the time of the evaluation, none of which were still hospitalised. No clusters were identified. The 22 USII cases had no association with the Games, suggesting that they represented the background level of USII in the area covered by the surveillance. This corresponded to an annualised rate of 0.39 cases/100,000 population and a PPV of 65%. Clinicians involved in the surveillance reported high acceptability levels. The USII surveillance model could be a useful public health tool in other countries and during mass gathering events for identifying potential clusters of emerging infections.",SEARCH-20260720-PUBMED-VENUE-SURVEILLANCE-01,surveillance_measurement,https://pubmed.ncbi.nlm.nih.gov/25425512/,sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement,title and complete available abstract,pending_independent_semantic_review
PMID:25428175,64fc0418b22cd172213c74a6fe41d41c607457a4e5896a47beea0fe97b617103,include_diagnostic_or_correction_lead,diagnostic,I_DIAGNOSTIC_CORRECTION,Evaluation of the representativeness of a sentinel surveillance site for campylobacteriosis.,2015,C F Bolwell; B J Gilpin; D Campbell; N P French,"It is important to assess the suitability of sentinel sites for human disease; however, there have been few publications documenting the process of formal evaluation. We describe an approach to examining the representativeness of a single sentinel site employed for campylobacteriosis surveillance and source attribution, utilizing a selection of data sources and statistical comparisons of demographic, epidemiological and pathogen genotyping data across selected regions of New Zealand. Our findings showed that while this region captured the national variability in many variables, for example by containing sizable urban and rural populations, the relative frequency of these features did vary from other regions of New Zealand. We discuss the value of choosing a sentinel site that represents the national distribution of key variables, compared to a site that captures the broad features of the wider population, but provides greater power for the monitoring of sub-populations.",SEARCH-20260720-PUBMED-FAMILY-SURVEILLANCE-01,surveillance_measurement,https://pubmed.ncbi.nlm.nih.gov/25428175/,sentinel_surveillance_calibration,Sentinel-surveillance calibration,surveillance_measurement,title and complete available abstract,pending_independent_semantic_review
