candidate_key,source_row_sha256,final_decision,final_proposed_record_type,final_reason_code,title,year,authors,abstract,search_ids,preliminary_families,source_url,provisional_concept_label,provisional_canonical_name,provisional_family,routing_evidence,routing_status
PMID:32007841,2424cf508125f8ae6b299b03accb2b7b6dec95a23b34655c33ca3613a7139bf5,include_diagnostic_or_correction_lead,diagnostic,I_DIAGNOSTIC_CORRECTION,Enterovirus D68 outbreak detection through a syndromic disease epidemiology network.,2020,Lindsay Meyers; Jennifer Dien Bard; Ben Galvin; Jeff Nawrocki; Hubert G M Niesters; Kathleen A Stellrecht; Kirsten St George; Judy A Daly; Anne J Blaschke; Christine Robinson; Huanyu Wang; Camille V Cook; Ferdaus Hassan; Sam R Dominguez; Kristin Pretty; Samia Naccache; Katherine E Olin; Benjamin M Althouse; Jay D Jones; Christine C Ginocchio; Mark A Poritz; Amy Leber; Rangaraj Selvarangan,"In 2014, enterovirus D68 (EV-D68) was responsible for an outbreak of severe respiratory illness in children, with 1,153 EV-D68 cases reported across 49 states. Despite this, there is no commercial assay for its detection in routine clinical care. BioFire® Syndromic Trends (Trend) is an epidemiological network that collects, in near real-time, deidentified. BioFire test results worldwide, including data from the BioFire® Respiratory Panel (RP). Using the RP version 1.7 (which was not explicitly designed to differentiate EV-D68 from other picornaviruses), we formulate a model, Pathogen Extended Resolution (PER), to distinguish EV-D68 from other human rhinoviruses/enteroviruses (RV/EV) tested for in the panel. Using PER in conjunction with Trend, we survey for historical evidence of EVD68 positivity and demonstrate a method for prospective real-time outbreak monitoring within the network. PER incorporates real-time polymerase chain reaction metrics from the RPRV/EV assays. Six institutions in the United States and Europe contributed to the model creation, providing data from 1,619 samples spanning two years, confirmed by EV-D68 gold-standard molecular methods. We estimate outbreak periods by applying PER to over 600,000 historical Trend RP tests since 2014. Additionally, we used PER as a prospective monitoring tool during the 2018 outbreak. The final PER algorithm demonstrated an overall sensitivity and specificity of 87.1% and 86.1%, respectively, among the gold-standard dataset. During the 2018 outbreak monitoring period, PER alerted the research network of EV-D68 emergence in July. One of the first sites to experience a significant increase, Nationwide Children's Hospital, confirmed the outbreak and implemented EV-D68 testing at the institution in response. Applying PER to the historical Trend dataset to determine rates among RP tests, we find three potential outbreaks with predicted regional EV-D68 rates as high as 37% in 2014, 16% in 2016, and 29% in 2018. Using PER within the Trend network was shown to both accurately predict outbreaks of EV-D68 and to provide timely notifications of its circulation to participating clinical laboratories.",SEARCH-20260720-PUBMED-FAMILY-FORECASTING-01,forecasting_dynamics,https://pubmed.ncbi.nlm.nih.gov/32007841/,outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics,title and complete available abstract,pending_independent_semantic_review
PMID:32091364,662f4beb5bbf36f77529a4731af6fcb872e54eeed2970477a03640dc6b23e85a,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,"Whole-Genome Sequencing to Detect Numerous Campylobacter jejuni Outbreaks and Match Patient Isolates to Sources, Denmark, 2015-2017.",2020,Katrine G Joensen; Kristoffer Kiil; Mette R Gantzhorn; Birgitte Nauerby; Jørgen Engberg; Hanne M Holt; Hans L Nielsen; Andreas M Petersen; Katrin G Kuhn; Gudrun Sandø; Steen Ethelberg; Eva M Nielsen,"In industrialized countries, the leading cause of bacterial gastroenteritis is Campylobacter jejuni. However, outbreaks are rarely reported, which may reflect limitations of surveillance, for which molecular typing is not routinely performed. To determine the frequency of genetic clusters among patients and to find links to concurrent isolates from poultry meat, broiler chickens, cattle, pigs, and dogs, we performed whole-genome sequencing on 1,509 C. jejuni isolates from 774 patients and 735 food or animal sources in Denmark during 2015-2017. We found numerous clusters; 366/774 (47.3%) clinical isolates formed 104 clusters of >2 isolates. A total of 41 patient clusters representing 199/366 (54%) patients matched a potential source, primarily domestic chickens/broilers. This study revealed serial outbreaks and numerous matches to concurrent food and animal isolates and highlighted the potential of whole-genome sequencing for improving routine surveillance of C. jejuni by enhancing outbreak detection, source tracing, and potentially prevention of human infections.",SEARCH-20260720-PUBMED-VENUE-FORECASTING-01,forecasting_dynamics,https://pubmed.ncbi.nlm.nih.gov/32091364/,outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics,title and complete available abstract,pending_independent_semantic_review
PMID:32190349,2a8d019bf14ec362c9930a1153969fdf2021e4c0df67557ed01c16ba53330991,include_method_source_lead,method_source,I_METHOD_SOURCE,Public health in genetic spaces: a statistical framework to optimize cluster-based outbreak detection.,2020,Connor Chato; Marcia L Kalish; Art F Y Poon,"Genetic clustering is a popular method for characterizing variation in transmission rates for rapidly evolving viruses, and could potentially be used to detect outbreaks in 'near real time'. However, the statistical properties of clustering are poorly understood in this context, and there are no objective guidelines for setting clustering criteria. Here, we develop a new statistical framework to optimize a genetic clustering method based on the ability to forecast new cases. We analysed the pairwise Tamura-Nei (TN93) genetic distances for anonymized HIV-1 subtype B pol sequences from Seattle (n = 1,653) and Middle Tennessee, USA (n = 2,779), and northern Alberta, Canada (n = 809). Under varying TN93 thresholds, we fit two models to the distributions of new cases relative to clusters of known cases: 1, a null model that assumes cluster growth is strictly proportional to cluster size, i.e. no variation in transmission rates among individuals; and 2, a weighted model that incorporates individual-level covariates, such as recency of diagnosis. The optimal threshold maximizes the difference in information loss between models, where covariates are used most effectively. Optimal TN93 thresholds varied substantially between data sets, e.g. 0.0104 in Alberta and 0.016 in Seattle and Tennessee, such that the optimum for one population would potentially misdirect prevention efforts in another. For a given population, the range of thresholds where the weighted model conferred greater predictive accuracy tended to be narrow (±0.005 units), and the optimal threshold tended to be stable over time. Our framework also indicated that variation in the recency of HIV diagnosis among clusters was significantly more predictive of new cases than sample collection dates (ΔAIC > 50). These results suggest that one cannot rely on historical precedence or convention to configure genetic clustering methods for public health applications, especially when translating methods between settings of low-level and generalized epidemics. Our framework not only enables investigators to calibrate a clustering method to a specific public health setting, but also provides a variable selection procedure to evaluate different predictive models of cluster growth.",SEARCH-20260720-PUBMED-FAMILY-FORECASTING-01,forecasting_dynamics,https://pubmed.ncbi.nlm.nih.gov/32190349/,outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics,title and complete available abstract,pending_independent_semantic_review
PMID:32288990,6f0d47b27b3987c27031ed564e1975305aa53d60b35d4d4ffece7cf5e6e5ada8,include_method_source_lead,method_source,I_METHOD_SOURCE,A new PSO-optimized geometry of spatial and spatio-temporal scan statistics for disease outbreak detection.,2012,Hesam Izakian; Witold Pedrycz,"The spatial and spatio-temporal scan statistics proposed by Kulldorff have been applied to a number of geographical disease cluster detection problems. As the shape of the scanning window used in these methods is circular or elliptic, they cannot find irregularly shaped clusters, say clusters occurring along river valleys or in cases where disease transmission is linked to the road network. In this study, we propose a more flexible geometric structure to be used as a spatial or spatio-temporal scanning window. A particle swarm optimization (PSO) is used to optimize the scanning window to determine disease clusters. We evaluated the proposed method over a number of spatial and spatio-temporal datasets (Breast cancer mortality in Northeastern US 1988-1992 and different types of cancer in New Mexico 1982-2007). Experimental results demonstrate that the introduced approach surpasses the results produced by the circular and elliptic scan statistics in terms of efficiency, especially when dealing with irregularly shaped clusters.",SEARCH-20260720-PUBMED-FAMILY-FORECASTING-01,forecasting_dynamics,https://pubmed.ncbi.nlm.nih.gov/32288990/,outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics,title and complete available abstract,pending_independent_semantic_review
PMID:32362801,b91f09c947967b25963aa2510ed1f930454e8aca600cc11ea23c67892a22fc64,include_method_source_lead,method_source,I_METHOD_SOURCE,Outbreak detection model based on danger theory.,2014,Mohamad Farhan Mohamad Mohsin; Azuraliza Abu Bakar; Abdul Razak Hamdan,"In outbreak detection, one of the key issues is the need to deal with the weakness of early outbreak signals because this causes the detection model to have has less capability in terms of robustness when unseen outbreak patterns vary from those in the trained model. As a result, an imbalance between high detection rate and low false alarm rate occurs. To solve this problem, this study proposes a novel outbreak detection model based on danger theory; a bio-inspired method that replicates how the human body fights pathogens. We propose a signal formalization approach based on cumulative sum and a cumulative mature antigen contact value to suit the outbreak characteristic and danger theory. Two outbreak diseases, dengue and SARS, are subjected to a danger theory algorithm; namely the dendritic cell algorithm. To evaluate the model, four measurement metrics are applied: detection rate, specificity, false alarm rate, and accuracy. From the experiment, the proposed model outperforms the other detection approaches and shows a significant improvement for both diseases outbreak detection. The findings reveal that the robustness of the proposed immune model increases when dealing with inconsistent outbreak signals. The model is able to detect new unknown outbreak patterns and can discriminate between outbreak and non-outbreak cases with a consistent high detection rate, high sensitivity, and lower false alarm rate even without a training phase.",SEARCH-20260720-PUBMED-FAMILY-FORECASTING-01,forecasting_dynamics,https://pubmed.ncbi.nlm.nih.gov/32362801/,outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics,title and complete available abstract,pending_independent_semantic_review
PMID:32458794,fcc2a4388cbefb725ef9841318966e9692de51585f507084855b62d8e2fed360,include_method_source_lead,method_source,I_METHOD_SOURCE,Multilevel genome typing: genomics-guided scalable resolution typing of microbial pathogens.,2020,Michael Payne; Sandeep Kaur; Qinning Wang; Daneeta Hennessy; Lijuan Luo; Sophie Octavia; Mark M Tanaka; Vitali Sintchenko; Ruiting Lan,"BackgroundBoth long- and short-term epidemiology are fundamental to disease control and require accurate bacterial typing. Genomic data resulting from implementation of whole genome sequencing in many public health laboratories can potentially provide highly sensitive and accurate descriptions of strain relatedness. Previous typing efforts using these data have mainly focussed on outbreak detection.AimWe aimed to develop multilevel genome typing (MGT), using consecutive multilocus sequence typing (MLST) schemes of increasing sizes, stepping up from seven-gene MLST to core genome MLST, to allow examination of genetic relatedness at multiple resolution levels.MethodsThe system was applied to Salmonellaenterica serovar Typhimurium. The MLST scheme used at each step (MGT level), defined a given MGT-level specific sequence type (ST). The list of STs generated from all of these increasing MGT levels, was named a genome type (GT). Using MGT, we typed 9,096 previously characterised isolates with publicly available data.ResultsOur approach could identify previously described S. Typhimurium populations, such as the DT104 multidrug resistance lineage (GT 19-2-11) and two invasive lineages of African isolates (GT 313-2-3 and 313-2-752). Further, we showed that MGT-derived clusters can accurately distinguish five outbreaks from each other and five background isolates.ConclusionMGT provides a universal and stable nomenclature at multiple resolutions for S. Typhimurium strains and could be implemented as an internationally standardised strain identification system. While established so far only for S. Typhimurium, the results here suggest that MGT could form the basis for typing systems in other similar microorganisms.",SEARCH-20260720-PUBMED-VENUE-FORECASTING-01,forecasting_dynamics,https://pubmed.ncbi.nlm.nih.gov/32458794/,outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics,title and complete available abstract,pending_independent_semantic_review
PMID:32539900,017a536ad1a0165835eb9ee1b1aed6f8923b86f031e76b37ca5183e35babe9a3,include_method_source_lead,method_source,I_METHOD_SOURCE,"Prospective Salmonella Enteritidis surveillance and outbreak detection using whole genome sequencing, Minnesota 2015-2017.",2020,J M Rounds; A J Taylor; D Eikmeier; M M Nichols; V Lappi; S E Wirth; D J Boxrud; K E Smith; C Medus,"Clusters of Salmonella Enteritidis cases were identified by the Minnesota Department of Health using both pulsed-field gel electrophoresis (PFGE) and whole genome sequencing (WGS) single nucleotide polymorphism analysis from 1 January 2015 through 31 December 2017. The median turnaround time for obtaining WGS results was 11 days longer than for PFGE (12 vs. 1 day). WGS analysis more than doubled the number of clusters compared to PFGE analysis, but reduced the total number of cases included in clusters by 34%. The median cluster size was two cases for WGS compared to four for PFGE, and the median duration of WGS clusters was 27 days shorter than PFGE clusters. While the percentage of PFGE clusters with a confirmed source (46%) was higher than WGS clusters (32%), a higher percentage of cases in clusters that were confirmed as outbreaks reported the vehicle or exposure of interest for WGS (78%) than PFGE (46%). WGS cluster size was a significant predictor of an outbreak source being confirmed. WGS data have enhanced S. Enteritidis cluster investigations in Minnesota by improving the specificity of cluster case definitions and has become an integral part of the S. Enteritidis surveillance process.",SEARCH-20260720-PUBMED-FAMILY-FORECASTING-01,forecasting_dynamics,https://pubmed.ncbi.nlm.nih.gov/32539900/,outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics,title and complete available abstract,pending_independent_semantic_review
PMID:32568039,dda72d4324dc43e66ff2c952f2830b436d270b30091edd1f19d63c0ba9c4e5d5,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,"Linking Epidemiology and Whole-Genome Sequencing to Investigate Salmonella Outbreak, Massachusetts, USA, 2018.",2020,Eric L Vaughn; Quynh T Vo; Johanna Vostok; Tracy Stiles; Andrew Lang; Catherine M Brown; R Monina Klevens; Lawrence Madoff,"Cross-discipline collaboration among state and local health departments improved foodborne illness surveillance for a 2018 Salmonella enterica serovar Enteritidis outbreak in Massachusetts, USA. Prompt linking of epidemiologic and laboratory data and implementation of in-state whole-genome sequencing and analysis improved public health surveillance capacity for outbreak detection and control.",SEARCH-20260720-PUBMED-VENUE-FORECASTING-01,forecasting_dynamics,https://pubmed.ncbi.nlm.nih.gov/32568039/,outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics,title and complete available abstract,pending_independent_semantic_review
PMID:32818406,1572d79da3cebb35c5f60090d1e14e73747260016cfa8ecaa07c19e2d13be9ad,include_method_source_lead,method_source,I_METHOD_SOURCE,Assessing 3 Outbreak Detection Algorithms in an Electronic Syndromic Surveillance System in a Resource-Limited Setting.,2020,Emily Alsentzer; Sarah-Blythe Ballard; Joan Neyra; Delphis M Vera; Victor B Osorio; Jose Quispe; David L Blazes; Luis Loayza,"We evaluated the performance of X-bar chart, exponentially weighted moving average, and C3 cumulative sums aberration detection algorithms for acute diarrheal disease syndromic surveillance at naval sites in Peru during 2007-2011. The 3 algorithms' detection sensitivity was 100%, specificity was 97%-99%, and positive predictive value was 27%-46%.",SEARCH-20260720-PUBMED-FAMILY-FORECASTING-01|SEARCH-20260720-PUBMED-VENUE-FORECASTING-01,forecasting_dynamics,https://pubmed.ncbi.nlm.nih.gov/32818406/,outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics,title and complete available abstract,pending_independent_semantic_review
PMID:32837807,2a21f55957f09f4e180d9d9d31f6945afc05db39d7f37e453f96a74dbce181b0,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,DOT: a crowdsourcing Mobile application for disease outbreak detection and surveillance in Mauritius.,2020,Kavi Khedo; Shakuntala Baichoo; Soulakshmee Devi Nagowah; Zahra Mungloo-Dilmohamud; Zarine Cadersaib; Sudha Cheerkoot-Jalim; Leckraj Nagowah; Lownish Sookha,"Early detection of disease outbreaks is crucial and even small improvements in detection can significantly impact on a country's public health. In this work, we investigate the use of a crowdsourcing application and a real-time disease outbreak surveillance system for five diseases; Influenza, Gastroenteritis, Upper Respiratory Tract Infection (URTI), Scabies and Conjunctivitis, that are closely monitored in Mauritius. We also analyze and correlate the collected data with past statistics. A crowdsourcing mobile application known as Disease Outbreak Tracker (DOT) was implemented and made public. A real-time disease surveillance system using the Early Aberration Reporting System algorithm (EARS) for analysis of the collected data was also implemented. The collected data were correlated to historical data for 2017. Data were successfully collected and plotted on a daily basis. The results show that a few cases of Flu and Scabies were reported in some districts. The EARS methods C1, C2 and C3 also depicted spikes above the set threshold on some days. The study covers data collected over a period of one month. Once symptoms data were collected using DOT, probabilistic methods were used to find the disease or diseases that the user was suffering from. The data were further processed to find the extent of the disease outbreak district-wise, per disease. These data were represented graphically for a rapid understanding of the situation in each district. Our findings concur with existing data for the same period for previous years showing that the crowdsourcing application can aid in the detection of disease outbreaks.",SEARCH-20260720-PUBMED-FAMILY-FORECASTING-01,forecasting_dynamics,https://pubmed.ncbi.nlm.nih.gov/32837807/,outbreak_anomaly_detection,Outbreak and anomaly detection,forecasting_dynamics,title and complete available abstract,pending_independent_semantic_review
