query_id,named_source_id,method_label,canonical_name,family,source_role,source,query_variant,query,seed_candidate_keys,reviewer
SEARCH-20260722-LINEAGE-CAUSAL-01,NS-CAUSAL-001,adaptive_multi_arm_multi_stage_cluster_randomized_trial,Adaptive multi-arm multi-stage cluster randomized trial,causal_policy,infectious_application,pubmed,exact_title,"""HIV self-testing alone or with additional interventions, including financial incentives, and linkage to care or prevention among male partners of antenatal care clinic attendees in Malawi: An adaptive multi-arm, multi-stage cluster randomised trial""[Title]",PMID:30601823,task6-lineage-primary
SEARCH-20260722-LINEAGE-CAUSAL-02,NS-CAUSAL-002,applied_randomized_intervention_studies,Applied randomized intervention studies,causal_policy,authoritative_candidate,pubmed,exact_title,"""An Adaptive Intervention Trial Design for Finding the Optimal Integrated Strategies for Malaria Control and Elimination in Africa: A Model Simulation Study""[Title]",PMID:34491227,task6-lineage-primary
SEARCH-20260722-LINEAGE-CAUSAL-03,NS-CAUSAL-003,applied_randomized_intervention_studies,Applied randomized intervention studies,causal_policy,infectious_application,pubmed,exact_title,"""Effect of an outpatient antimicrobial stewardship intervention on broad-spectrum antibiotic prescribing by primary care pediatricians: a randomized trial""[Title]",PMID:23757082,task6-lineage-primary
SEARCH-20260722-LINEAGE-CAUSAL-04,NS-CAUSAL-004,bayesian_data_fusion_for_pooled_sampling_prevalence,Bayesian data fusion for pooled-sampling prevalence,causal_policy,authoritative_candidate,pubmed,exact_title,"""Estimating viral prevalence with data fusion for adaptive two-phase pooled sampling""[Title]",PMID:34707835,task6-lineage-primary
SEARCH-20260722-LINEAGE-CAUSAL-05,NS-CAUSAL-005,bridged_treatment_comparison_data_fusion,Bridged treatment comparison via data fusion,causal_policy,authoritative_candidate,pubmed,exact_title,"""Bridged treatment comparisons: an illustrative application in HIV treatment""[Title]",PMID:39218437,task6-lineage-primary
SEARCH-20260722-LINEAGE-CAUSAL-06,NS-CAUSAL-006,intervention_and_economic_decision_models,Causal and economic evaluations under incomplete ascertainment,causal_policy,authoritative_candidate,pubmed,exact_title,"""Cost-effectiveness of adolescent pertussis vaccination for the Netherlands: using an individual-based dynamic model""[Title]",PMID:20976213,task6-lineage-primary
SEARCH-20260722-LINEAGE-CAUSAL-07,NS-CAUSAL-007,intervention_and_economic_decision_models,Causal and economic evaluations under incomplete ascertainment,causal_policy,infectious_application,pubmed,exact_title,"""Cost-effectiveness analysis of various pertussis vaccination strategies primarily aimed at protecting infants in the Netherlands""[Title]",PMID:20728761,task6-lineage-primary
SEARCH-20260722-LINEAGE-CAUSAL-08,NS-CAUSAL-008,causal_interference_estimands,Causal estimands for vaccination under transmission interference,causal_policy,authoritative_candidate,pubmed,exact_title,"""Defining and Estimating Outcomes Directly Averted by a Vaccination Program when Rollout Occurs Over Time""[Title]",PMID:41570185,task6-lineage-primary
SEARCH-20260722-LINEAGE-CAUSAL-09,NS-CAUSAL-009,causal_mediation_analysis,Causal mediation analysis,causal_policy,authoritative_candidate,pubmed,exact_title,"""G-Computation to Causal Mediation Analysis With Sequential Multiple Mediators-Investigating the Vulnerable Time Window of HBV Activity for the Mechanism of HCV Induced Hepatocellular Carcinoma""[Title]",PMID:35071157,task6-lineage-primary
SEARCH-20260722-LINEAGE-CAUSAL-10,NS-CAUSAL-010,causal_mediation_analysis,Causal mediation analysis,causal_policy,infectious_application,pubmed,exact_title,"""Does Partner Selection Mediate the Relationship Between School Attendance and HIV/Herpes Simplex Virus-2 Among Adolescent Girls and Young Women in South Africa: An Analysis of HIV Prevention Trials Network 068 Data""[Title]",PMID:29847479,task6-lineage-primary
SEARCH-20260722-LINEAGE-CAUSAL-11,NS-CAUSAL-011,causal_methods_comparison_guidance,Causal-design comparison and reporting guidance,causal_policy,authoritative_candidate,pubmed,exact_title,"""Triangulating Instrumental Variable, confounder adjustment and difference-in-difference methods for comparative effectiveness research in observational data""[Title]",PMID:41069648,task6-lineage-primary
