candidate_key,source_row_sha256,final_decision,final_proposed_record_type,final_reason_code,title,year,authors,abstract,search_ids,preliminary_families,source_url,provisional_concept_label,provisional_canonical_name,provisional_family,routing_evidence,routing_status
PMID:22495733,240b6b7c900f7187991480bb7aae09f797b2f469c6cff3eb8c65ad315b60ba68,include_method_source_lead,method_source,I_METHOD_SOURCE,The parametric g-formula to estimate the effect of highly active antiretroviral therapy on incident AIDS or death.,2012,Daniel Westreich; Stephen R Cole; Jessica G Young; Frank Palella; Phyllis C Tien; Lawrence Kingsley; Stephen J Gange; Miguel A Hernán,"The parametric g-formula can be used to contrast the distribution of potential outcomes under arbitrary treatment regimes. Like g-estimation of structural nested models and inverse probability weighting of marginal structural models, the parametric g-formula can appropriately adjust for measured time-varying confounders that are affected by prior treatment. However, there have been few implementations of the parametric g-formula to date. Here, we apply the parametric g-formula to assess the impact of highly active antiretroviral therapy on time to acquired immune deficiency syndrome (AIDS) or death in two US-based human immunodeficiency virus cohorts including 1498 participants. These participants contributed approximately 7300 person-years of follow-up (49% exposed to highly active antiretroviral therapy) during which 382 events occurred and 259 participants were censored because of dropout. Using the parametric g-formula, we estimated that antiretroviral therapy substantially reduces the hazard of AIDS or death (hazard ratio = 0.55; 95% confidence limits [CL]: 0.42, 0.71). This estimate was similar to one previously reported using a marginal structural model, 0.54 (95% CL: 0.38, 0.78). The 6.5-year difference in risk of AIDS or death was 13% (95% CL: 8%, 18%). Results were robust to assumptions about temporal ordering, and extent of history modeled, for time-varying covariates. The parametric g-formula is a viable alternative to inverse probability weighting of marginal structural models and g-estimation of structural nested models for the analysis of complex longitudinal data.",SEARCH-20260720-PUBMED-FAMILY-CAUSAL-02,causal_policy,https://pubmed.ncbi.nlm.nih.gov/22495733/,parametric_g_formula,Parametric g-formula and g-computation,causal_policy,title and complete available abstract,pending_independent_semantic_review
PMID:22972662,c69961f8e1f7c8136b479937bee86062636f1dcac1b304b118c559eff6442a8d,include_simulation_or_mechanistic_lead,method_source,I_SIMULATION_MECHANISTIC,An information criterion for marginal structural models.,2013,Robert W Platt; M Alan Brookhart; Stephen R Cole; Daniel Westreich; Enrique F Schisterman,"Marginal structural models were developed as a semiparametric alternative to the G-computation formula to estimate causal effects of exposures. In practice, these models are often specified using parametric regression models. As such, the usual conventions regarding regression model specification apply. This paper outlines strategies for marginal structural model specification and considerations for the functional form of the exposure metric in the final structural model. We propose a quasi-likelihood information criterion adapted from use in generalized estimating equations. We evaluate the properties of our proposed information criterion using a limited simulation study. We illustrate our approach using two empirical examples. In the first example, we use data from a randomized breastfeeding promotion trial to estimate the effect of breastfeeding duration on infant weight at 1 year. In the second example, we use data from two prospective cohorts studies to estimate the effect of highly active antiretroviral therapy on CD4 count in an observational cohort of HIV-infected men and women. The marginal structural model specified should reflect the scientific question being addressed but can also assist in exploration of other plausible and closely related questions. In marginal structural models, as in any regression setting, correct inference depends on correct model specification. Our proposed information criterion provides a formal method for comparing model fit for different specifications.",SEARCH-20260720-PUBMED-FAMILY-CAUSAL-02,causal_policy,https://pubmed.ncbi.nlm.nih.gov/22972662/,parametric_g_formula,Parametric g-formula and g-computation,causal_policy,title and complete available abstract,pending_independent_semantic_review
PMID:24260029,79c221f4278e3e19184e9366e51b50bd2c2cc4a1a11603182e05b2fa71520c5a,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,When to start antiretroviral therapy in children aged 2-5 years: a collaborative causal modelling analysis of cohort studies from southern Africa.,2013,Michael Schomaker; Matthias Egger; James Ndirangu; Sam Phiri; Harry Moultrie; Karl Technau; Vivian Cox; Janet Giddy; Cleophas Chimbetete; Robin Wood; Thomas Gsponer; Carolyn Bolton Moore; Helena Rabie; Brian Eley; Lulu Muhe; Martina Penazzato; Shaffiq Essajee; Olivia Keiser; Mary-Ann Davies; International Epidemiologic Databases to Evaluate AIDS–Southern Africa (IeDEA-SA) Collaboration,"There is limited evidence on the optimal timing of antiretroviral therapy (ART) initiation in children 2-5 y of age. We conducted a causal modelling analysis using the International Epidemiologic Databases to Evaluate AIDS-Southern Africa (IeDEA-SA) collaborative dataset to determine the difference in mortality when starting ART in children aged 2-5 y immediately (irrespective of CD4 criteria), as recommended in the World Health Organization (WHO) 2013 guidelines, compared to deferring to lower CD4 thresholds, for example, the WHO 2010 recommended threshold of CD4 count <750 cells/mm(3) or CD4 percentage (CD4%) <25%. ART-naïve children enrolling in HIV care at IeDEA-SA sites who were between 24 and 59 mo of age at first visit and with ≥1 visit prior to ART initiation and ≥1 follow-up visit were included. We estimated mortality for ART initiation at different CD4 thresholds for up to 3 y using g-computation, adjusting for measured time-dependent confounding of CD4 percent, CD4 count, and weight-for-age z-score. Confidence intervals were constructed using bootstrapping. The median (first; third quartile) age at first visit of 2,934 children (51% male) included in the analysis was 3.3 y (2.6; 4.1), with a median (first; third quartile) CD4 count of 592 cells/mm(3) (356; 895) and median (first; third quartile) CD4% of 16% (10%; 23%). The estimated cumulative mortality after 3 y for ART initiation at different CD4 thresholds ranged from 3.4% (95% CI: 2.1-6.5) (no ART) to 2.1% (95% CI: 1.3%-3.5%) (ART irrespective of CD4 value). Estimated mortality was overall higher when initiating ART at lower CD4 values or not at all. There was no mortality difference between starting ART immediately, irrespective of CD4 value, and ART initiation at the WHO 2010 recommended threshold of CD4 count <750 cells/mm(3) or CD4% <25%, with mortality estimates of 2.1% (95% CI: 1.3%-3.5%) and 2.2% (95% CI: 1.4%-3.5%) after 3 y, respectively. The analysis was limited by loss to follow-up and the unavailability of WHO staging data. The results indicate no mortality difference for up to 3 y between ART initiation irrespective of CD4 value and ART initiation at a threshold of CD4 count <750 cells/mm(3) or CD4% <25%, but there are overall higher point estimates for mortality when ART is initiated at lower CD4 values. Please see later in the article for the Editors' Summary.",SEARCH-20260720-PUBMED-FAMILY-CAUSAL-02,causal_policy,https://pubmed.ncbi.nlm.nih.gov/24260029/,parametric_g_formula,Parametric g-formula and g-computation,causal_policy,title and complete available abstract,pending_independent_semantic_review
PMID:24573538,38d7f34b2055402bcb5f85e11ac462ecdb1b9aa926767aa56266ec8478453141,include_method_source_lead,method_source,I_METHOD_SOURCE,From exposures to population interventions: pregnancy and response to HIV therapy.,2014,Daniel Westreich,"Many epidemiologic studies identify contrasts between an ""always-exposed"" population and a ""never-exposed"" population. Such ""exposure effects"" are perhaps most valuable in discussing individual lifestyle changes, or in clinical care; they may be less valuable in estimating the potential effects of realistic public health interventions. Various methods, among them population attributable fractions and generalized impact fractions, attempt to obtain more policy-relevant estimates of ""population intervention"" effects, but such methods remain rare in the epidemiologic literature. Here, we describe the use of the parametric g-formula as a tool for the estimation of population intervention effects in longitudinal data. Our discussion is motivated by a previous study of the effect of incident pregnancy on time to virological failure among human immunodeficiency virus-positive women initiating antiretroviral therapy in South Africa between 2004 and 2011. We show that 1) interventional estimates of effect can be estimated in longitudinal data using the parametric g-formula and 2) exposure effects and population interventional effects can have dramatically different interpretations and magnitudes in real-world data. Epidemiologists should consider estimating interventional effects in addition to exposure effects; doing so would allow the results of epidemiologic studies to be more immediately relevant to policy-makers and to implementation science efforts.",SEARCH-20260720-PUBMED-FAMILY-CAUSAL-02,causal_policy,https://pubmed.ncbi.nlm.nih.gov/24573538/,parametric_g_formula,Parametric g-formula and g-computation,causal_policy,title and complete available abstract,pending_independent_semantic_review
PMID:24979709,e08a584b2e2363dfdd6dcd2b7eaf7de78519e78f4f9341651a9a49675819b24f,include_method_source_lead,method_source,I_METHOD_SOURCE,Cervical cancer precursors and hormonal contraceptive use in HIV-positive women: application of a causal model and semi-parametric estimation methods.,2014,Hannah H Leslie; Deborah A Karasek; Laura F Harris; Emily Chang; Naila Abdulrahim; May Maloba; Megan J Huchko,"To demonstrate the application of causal inference methods to observational data in the obstetrics and gynecology field, particularly causal modeling and semi-parametric estimation. Human immunodeficiency virus (HIV)-positive women are at increased risk for cervical cancer and its treatable precursors. Determining whether potential risk factors such as hormonal contraception are true causes is critical for informing public health strategies as longevity increases among HIV-positive women in developing countries. We developed a causal model of the factors related to combined oral contraceptive (COC) use and cervical intraepithelial neoplasia 2 or greater (CIN2+) and modified the model to fit the observed data, drawn from women in a cervical cancer screening program at HIV clinics in Kenya. Assumptions required for substantiation of a causal relationship were assessed. We estimated the population-level association using semi-parametric methods: g-computation, inverse probability of treatment weighting, and targeted maximum likelihood estimation. We identified 2 plausible causal paths from COC use to CIN2+: via HPV infection and via increased disease progression. Study data enabled estimation of the latter only with strong assumptions of no unmeasured confounding. Of 2,519 women under 50 screened per protocol, 219 (8.7%) were diagnosed with CIN2+. Marginal modeling suggested a 2.9% (95% confidence interval 0.1%, 6.9%) increase in prevalence of CIN2+ if all women under 50 were exposed to COC; the significance of this association was sensitive to method of estimation and exposure misclassification. Use of causal modeling enabled clear representation of the causal relationship of interest and the assumptions required to estimate that relationship from the observed data. Semi-parametric estimation methods provided flexibility and reduced reliance on correct model form. Although selected results suggest an increased prevalence of CIN2+ associated with COC, evidence is insufficient to conclude causality. Priority areas for future studies to better satisfy causal criteria are identified.",SEARCH-20260720-PUBMED-FAMILY-CAUSAL-02,causal_policy,https://pubmed.ncbi.nlm.nih.gov/24979709/,parametric_g_formula,Parametric g-formula and g-computation,causal_policy,title and complete available abstract,pending_independent_semantic_review
PMID:25787266,e5abe94c39f6be7df5a768e9fa287c56b8a512a3898be364fb0d4e9dd5a489e2,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,The Impact of Implementation Fidelity on Mortality Under a CD4-Stratified Timing Strategy for Antiretroviral Therapy in Patients With Tuberculosis.,2015,Monita R Patel; Daniel Westreich; Marcel Yotebieng; Mbonze Nana; Joseph J Eron; Frieda Behets; Annelies Van Rie,"Among patients with tuberculosis and human immunodeficiency virus type 1, CD4-stratified initiation of antiretroviral therapy (ART) is recommended, with earlier ART in those with low CD4 counts. However, the impact of implementation fidelity to this recommendation is unknown. We examined a prospective cohort study of 395 adult patients diagnosed with tuberculosis and human immunodeficiency virus between August 2007 and November 2009 in Kinshasa, Democratic Republic of the Congo. ART was to be initiated after 1 month of tuberculosis treatment at a CD4 count of <100 cells/mm(3) or World Health Organization stage 4 (other than extrapulmonary tuberculosis) and after 2 months of tuberculosis treatment at a CD4 count of 100-350 cells/mm(3). We used the parametric g-formula to estimate the impact of implementation fidelity on 6-month mortality. Observed implementation fidelity was low (46%); 54% of patients either experienced delays in ART initiation or did not initiate ART, which could be avoided under perfect implementation fidelity. The observed mortality risk was 12.0% (95% confidence interval (CI): 8.2, 15.7); under complete (counterfactual) implementation fidelity, the mortality risk was 7.8% (95% CI: 2.4, 12.3), corresponding to a risk reduction of 4.2% (95% CI: 0.3, 8.1) and a preventable fraction of 35.1% (95% CI: 2.9, 67.9). Strategies to achieve high implementation fidelity to CD4-stratified ART timing are needed to maximize survival benefit.",SEARCH-20260720-PUBMED-FAMILY-CAUSAL-02,causal_policy,https://pubmed.ncbi.nlm.nih.gov/25787266/,parametric_g_formula,Parametric g-formula and g-computation,causal_policy,title and complete available abstract,pending_independent_semantic_review
PMID:26082505,b736de636be25e3dd94c902af19186850b8c354b5d67582b383b552031beb8ac,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,"Age at Entry Into Care, Timing of Antiretroviral Therapy Initiation, and 10-Year Mortality Among HIV-Seropositive Adults in the United States.",2015,Jessie K Edwards; Stephen R Cole; Daniel Westreich; Michael J Mugavero; Joseph J Eron; Richard D Moore; William C Mathews; Peter Hunt; Carolyn Williams; Centers for AIDS Research Network of Integrated Clinical Systems investigators,"The goal of targeted antiretroviral therapy initiation is to minimize disease progression among patients with human immunodeficiency virus while minimizing the therapeutic burden on these patients. We examine whether the effect of delaying therapy initiation from 500 cells/mm(3) to 350 or 200 cells/mm(3) is modified by age at entry into care. We used the parametric g-formula to compare 10-year mortality under 3 CD4 cell count thresholds for therapy initiation among 3532 patients who entered care at 1 of 8 sites in the United States between 1998 and 2013. Results are reported separately for patients 18 to 34, 35 to 44, and 45 to 65 years of age at study entry. In the observed data, 10-year mortality was 13% (165 deaths). Mortality increased from 11% under therapy initiation at 500 cells/mm(3) to 12% at 350 cells/mm(3) (risk difference [RD]: 0.87; 95% confidence interval [CI]: .56, 2.17) and to 14% at 200 cells/mm(3) (RD: 2.71; 95% CI: 1.79, 5.38). The effect of delaying therapy became greater with age: RDs comparing the 350-cells/mm(3) threshold with the 500-cells/mm(3) threshold ranged from -0.03 (95% CI: -0.15, 1.76) for patients 18 to 34 years of age to 0.99 (95% CI: -.27, 1.98) for patients 35 to 44 and to 2.30 (95% CI: 1.29, 5.42) for patients 45 to 65. Delaying therapy increased 10-year mortality in the full cohort. Subgroup analysis highlights that patients entering care at older ages may be more vulnerable to the consequences of delayed ART initiation than younger patients.",SEARCH-20260720-PUBMED-FAMILY-CAUSAL-02,causal_policy,https://pubmed.ncbi.nlm.nih.gov/26082505/,parametric_g_formula,Parametric g-formula and g-computation,causal_policy,title and complete available abstract,pending_independent_semantic_review
PMID:26423376,831b693c361e214cd2324574e719fd54e80f36aaefe3df8a81e1db9f3c45238e,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,Comparative effectiveness of immediate antiretroviral therapy versus CD4-based initiation in HIV-positive individuals in high-income countries: observational cohort study.,2015,Sara Lodi; Andrew Phillips; Roger Logan; Ashley Olson; Dominique Costagliola; Sophie Abgrall; Ard van Sighem; Peter Reiss; José M Miró; Elena Ferrer; Amy Justice; Neel Gandhi; Heiner C Bucher; Hansjakob Furrer; Santiago Moreno; Susana Monge; Giota Touloumi; Nikos Pantazis; Jonathan Sterne; Jessica G Young; Laurence Meyer; Rémonie Seng; Francois Dabis; Marie-Anne Vandehende; Santiago Pérez-Hoyos; Inma Jarrín; Sophie Jose; Caroline Sabin; Miguel A Hernán; HIV-CAUSAL Collaboration,"Recommendations have differed nationally and internationally with respect to the best time to start antiretroviral therapy (ART). We compared effectiveness of three strategies for initiation of ART in high-income countries for HIV-positive individuals who do not have AIDS: immediate initiation, initiation at a CD4 count less than 500 cells per μL, and initiation at a CD4 count less than 350 cells per μL. We used data from the HIV-CAUSAL Collaboration of cohort studies in Europe and the USA. We included 55,826 individuals aged 18 years or older who were diagnosed with HIV-1 infection between January, 2000, and September, 2013, had not started ART, did not have AIDS, and had CD4 count and HIV-RNA viral load measurements within 6 months of HIV diagnosis. We estimated relative risks of death and of death or AIDS-defining illness, mean survival time, the proportion of individuals in need of ART, and the proportion of individuals with HIV-RNA viral load less than 50 copies per mL, as would have been recorded under each ART initiation strategy after 7 years of HIV diagnosis. We used the parametric g-formula to adjust for baseline and time-varying confounders. Median CD4 count at diagnosis of HIV infection was 376 cells per μL (IQR 222-551). Compared with immediate initiation, the estimated relative risk of death was 1·02 (95% CI 1·01-1·02) when ART was started at a CD4 count less than 500 cells per μL, and 1·06 (1·04-1·08) with initiation at a CD4 count less than 350 cells per μL. Corresponding estimates for death or AIDS-defining illness were 1·06 (1·06-1·07) and 1·20 (1·17-1·23), respectively. Compared with immediate initiation, the mean survival time at 7 years with a strategy of initiation at a CD4 count less than 500 cells per μL was 2 days shorter (95% CI 1-2) and at a CD4 count less than 350 cells per μL was 5 days shorter (4-6). 7 years after diagnosis of HIV, 100%, 98·7% (95% CI 98·6-98·7), and 92·6% (92·2-92·9) of individuals would have been in need of ART with immediate initiation, initiation at a CD4 count less than 500 cells per μL, and initiation at a CD4 count less than 350 cells per μL, respectively. Corresponding proportions of individuals with HIV-RNA viral load less than 50 copies per mL at 7 years were 87·3% (87·3-88·6), 87·4% (87·4-88·6), and 83·8% (83·6-84·9). The benefits of immediate initiation of ART, such as prolonged survival and AIDS-free survival and increased virological suppression, were small in this high-income setting with relatively low CD4 count at HIV diagnosis. The estimated beneficial effect on AIDS is less than in recently reported randomised trials. Increasing rates of HIV testing might be as important as a policy of early initiation of ART. National Institutes of Health.",SEARCH-20260720-PUBMED-FAMILY-CAUSAL-02,causal_policy,https://pubmed.ncbi.nlm.nih.gov/26423376/,parametric_g_formula,Parametric g-formula and g-computation,causal_policy,title and complete available abstract,pending_independent_semantic_review
PMID:26479876,1749cfcbcffe5ba89c61807236b2fac12f3ef2b2e8e6f583caa7f12263f00f53,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,Growth and Mortality Outcomes for Different Antiretroviral Therapy Initiation Criteria in Children Ages 1-5 Years: A Causal Modeling Analysis.,2016,Michael Schomaker; Mary-Ann Davies; Karen Malateste; Lorna Renner; Shobna Sawry; Sylvie N'Gbeche; Karl-Günter Technau; François Eboua; Frank Tanser; Haby Sygnaté-Sy; Sam Phiri; Madeleine Amorissani-Folquet; Vivian Cox; Fla Koueta; Cleophas Chimbete; Annette Lawson-Evi; Janet Giddy; Clarisse Amani-Bosse; Robin Wood; Matthias Egger; Valeriane Leroy; IeDEA West Africa and IeDEA Southern Africa collaboration,"There is limited evidence regarding the optimal timing of initiating antiretroviral therapy (ART) in children. We conducted a causal modeling analysis in children ages 1-5 years from the International Epidemiologic Databases to Evaluate AIDS West/Southern-Africa collaboration to determine growth and mortality differences related to different CD4-based treatment initiation criteria, age groups, and regions. ART-naïve children of ages 12-59 months at enrollment with at least one visit before ART initiation and one follow-up visit were included. We estimated 3-year growth and cumulative mortality from the start of follow-up for different CD4 criteria using g-computation. About one quarter of the 5,826 included children was from West Africa (24.6%).The median (first; third quartile) CD4% at the first visit was 16% (11%; 23%), the median weight-for-age z-scores and height-for-age z-scores were -1.5 (-2.7; -0.6) and -2.5 (-3.5; -1.5), respectively. Estimated cumulative mortality was higher overall, and growth was slower, when initiating ART at lower CD4 thresholds. After 3 years of follow-up, the estimated mortality difference between starting ART routinely irrespective of CD4 count and starting ART if either CD4 count <750 cells/mm³ or CD4% <25% was 0.2% (95% CI = -0.2%; 0.3%), and the difference in the mean height-for-age z-scores of those who survived was -0.02 (95% CI = -0.04; 0.01). Younger children ages 1-2 and children in West Africa had worse outcomes. Our results demonstrate that earlier treatment initiation yields overall better growth and mortality outcomes, although we could not show any differences in outcomes between immediate ART and delaying until CD4 count/% falls below 750/25%.",SEARCH-20260720-PUBMED-FAMILY-CAUSAL-02,causal_policy,https://pubmed.ncbi.nlm.nih.gov/26479876/,parametric_g_formula,Parametric g-formula and g-computation,causal_policy,title and complete available abstract,pending_independent_semantic_review
PMID:26621194,a9cbff29d8a41476823a69f6c40fa976945edd35f839f14cf55417c621f33c73,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,Reduction in diarrhoeal rates through interventions that prevent unnecessary antibiotic exposure early in life in an observational birth cohort.,2016,Elizabeth T Rogawski; Steven R Meshnick; Sylvia Becker-Dreps; Linda S Adair; Robert S Sandler; Rajiv Sarkar; Deepthi Kattula; Honorine D Ward; Gagandeep Kang; Daniel J Westreich,"Antibiotic treatment early in life is often not needed and has been associated with increased rates of subsequent diarrhoea. We estimated the impact of realistic interventions, which would prevent unnecessary antibiotic exposures before 6 months of age, on reducing childhood diarrhoeal rates. In data from a prospective observational cohort study conducted in Vellore, India, we used the parametric g-formula to model diarrhoeal incidence rate differences contrasting the observed incidence of diarrhoea to the incidence expected under hypothetical interventions. The interventions prevented unnecessary antibiotic treatments for non-bloody diarrhoea, vomiting and upper respiratory infections before 6 months of age. We also modelled targeted interventions, in which unnecessary antibiotic use was prevented only among children who had already stopped exclusive breast feeding. More than half of all antibiotic exposures before 6 months (58.9%) were likely unnecessary. The incidence rate difference associated with removing unnecessary antibiotic use before 6 months of age was -0.28 (95% CI -0.46 to -0.08) episodes per 30 child-months. This implies that preventing unnecessary antibiotic exposures in just 4 children would reduce the incidence of diarrhoea by 1 from 6 months to 3 years of age. Interventions to reduce unnecessary antibiotic use among young children could result in an important reduction in diarrhoeal rates. This work provides an example application of statistical methods which can further the aim of presenting epidemiological findings that are relevant to public health practice.",SEARCH-20260720-PUBMED-FAMILY-CAUSAL-02,causal_policy,https://pubmed.ncbi.nlm.nih.gov/26621194/,parametric_g_formula,Parametric g-formula and g-computation,causal_policy,title and complete available abstract,pending_independent_semantic_review
