durable_checkpoint_query_id,archived_execution_date_query_id,named_source_id,raw_content_preserved
SEARCH-20260719-LINEAGE-CAUSAL-15,SEARCH-20260722-LINEAGE-CAUSAL-115,NS-CAUSAL-015,true
SEARCH-20260719-LINEAGE-CAUSAL-20,SEARCH-20260722-LINEAGE-CAUSAL-121,NS-CAUSAL-020,true
SEARCH-20260718-LINEAGE-CAUSAL-20,SEARCH-20260722-LINEAGE-CAUSAL-122,NS-CAUSAL-020,true
SEARCH-20260719-LINEAGE-CAUSAL-24,SEARCH-20260722-LINEAGE-CAUSAL-126,NS-CAUSAL-024,true
SEARCH-20260719-LINEAGE-CAUSAL-33,SEARCH-20260722-LINEAGE-CAUSAL-137,NS-CAUSAL-033,true
SEARCH-20260719-LINEAGE-CAUSAL-36,SEARCH-20260722-LINEAGE-CAUSAL-142,NS-CAUSAL-036,true
SEARCH-20260719-LINEAGE-CAUSAL-42,SEARCH-20260722-LINEAGE-CAUSAL-148,NS-CAUSAL-042,true
SEARCH-20260719-LINEAGE-CAUSAL-48,SEARCH-20260722-LINEAGE-CAUSAL-156,NS-CAUSAL-048,true
SEARCH-20260719-LINEAGE-CAUSAL-50,SEARCH-20260722-LINEAGE-CAUSAL-158,NS-CAUSAL-050,true
SEARCH-20260719-LINEAGE-CAUSAL-54,SEARCH-20260722-LINEAGE-CAUSAL-163,NS-CAUSAL-054,true
SEARCH-20260719-LINEAGE-CAUSAL-61,SEARCH-20260722-LINEAGE-CAUSAL-172,NS-CAUSAL-061,true
SEARCH-20260718-LINEAGE-CAUSAL-61,SEARCH-20260722-LINEAGE-CAUSAL-173,NS-CAUSAL-061,true
SEARCH-20260719-LINEAGE-CAUSAL-62,SEARCH-20260722-LINEAGE-CAUSAL-174,NS-CAUSAL-062,true
SEARCH-20260719-LINEAGE-CAUSAL-68,SEARCH-20260722-LINEAGE-CAUSAL-181,NS-CAUSAL-068,true
SEARCH-20260719-LINEAGE-CAUSAL-69,SEARCH-20260722-LINEAGE-CAUSAL-182,NS-CAUSAL-069,true
SEARCH-20260719-LINEAGE-CAUSAL-75,SEARCH-20260722-LINEAGE-CAUSAL-190,NS-CAUSAL-075,true
SEARCH-20260719-LINEAGE-CAUSAL-77,SEARCH-20260722-LINEAGE-CAUSAL-192,NS-CAUSAL-077,true
SEARCH-20260719-LINEAGE-CAUSAL-86,SEARCH-20260722-LINEAGE-CAUSAL-201,NS-CAUSAL-086,true
SEARCH-20260719-LINEAGE-CAUSAL-89,SEARCH-20260722-LINEAGE-CAUSAL-205,NS-CAUSAL-089,true
SEARCH-20260719-LINEAGE-CAUSAL-02,SEARCH-20260722-LINEAGE-CAUSAL-99,NS-CAUSAL-002,true
SEARCH-20260719-LINEAGE-EVIDENCE-35,SEARCH-20260722-LINEAGE-EVIDENCE-100,NS-EVIDENCE-035,true
