decision_id,labels_compared,retained_canonical_name,family,decision,evidence_inspected,reviewer,decision_rationale
CMS-001,agent_based_models -> agent_based_models,Agent-based and individual-based models,simulation_methods,split_branch,645 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,645 records from provisional label agent_based_models resolve to final design concept agent_based_models; decision is discovery-stage and preserves failed/null designs.
CMS-002,agent_based_models -> microsimulation_decision_analytic_models,Microsimulation and decision-analytic models,simulation_methods,split_branch,3 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,3 records from provisional label agent_based_models resolve to final design concept microsimulation_decision_analytic_models; decision is discovery-stage and preserves failed/null designs.
CMS-003,agent_based_models -> simulation_model_calibration_inference,Simulation-model calibration and inference,simulation_methods,split_branch,1 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,1 records from provisional label agent_based_models resolve to final design concept simulation_model_calibration_inference; decision is discovery-stage and preserves failed/null designs.
CMS-004,bayesian_spatiotemporal_models -> phylogeography_genomic_diffusion,Phylogeography and genomic diffusion,spatial_transmission,merge,1 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,1 records from provisional label bayesian_spatiotemporal_models resolve to final design concept phylogeography_genomic_diffusion; decision is discovery-stage and preserves failed/null designs.
CMS-005,capture_recapture -> capture_recapture,Capture-recapture estimation,surveillance_measurement,split_branch,60 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,60 records from provisional label capture_recapture resolve to final design concept capture_recapture; decision is discovery-stage and preserves failed/null designs.
CMS-006,capture_recapture -> hidden_population_capture_recapture,Capture-recapture for hidden-population size estimation,surveillance_measurement,split_branch,19 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,19 records from provisional label capture_recapture resolve to final design concept hidden_population_capture_recapture; decision is discovery-stage and preserves failed/null designs.
CMS-007,capture_recapture -> multiple_system_estimation,Multiple-system estimation,surveillance_measurement,split_branch,3 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,3 records from provisional label capture_recapture resolve to final design concept multiple_system_estimation; decision is discovery-stage and preserves failed/null designs.
CMS-008,capture_recapture -> multistate_capture_recapture,Multistate capture-recapture for disease dynamics,surveillance_measurement,split_branch,9 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,9 records from provisional label capture_recapture resolve to final design concept multistate_capture_recapture; decision is discovery-stage and preserves failed/null designs.
CMS-009,capture_recapture -> publication_bias_capture_recapture,Capture-recapture for publication-bias estimation,evidence_synthesis,split_branch,1 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,1 records from provisional label capture_recapture resolve to final design concept publication_bias_capture_recapture; decision is discovery-stage and preserves failed/null designs.
CMS-010,changepoint_detection -> changepoint_detection,Change-point detection,forecasting_dynamics,split_branch,28 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,28 records from provisional label changepoint_detection resolve to final design concept changepoint_detection; decision is discovery-stage and preserves failed/null designs.
CMS-011,changepoint_detection -> threshold_regression_change_point_models,Threshold and segmented regression change-point models,causal_policy,split_branch,6 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,6 records from provisional label changepoint_detection resolve to final design concept threshold_regression_change_point_models; decision is discovery-stage and preserves failed/null designs.
CMS-012,changepoint_detection -> transmission_rate_changepoint_epidemic_models,Transmission-rate changepoint epidemic models,forecasting_dynamics,split_branch,5 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,5 records from provisional label changepoint_detection resolve to final design concept transmission_rate_changepoint_epidemic_models; decision is discovery-stage and preserves failed/null designs.
CMS-013,contact_network_models -> bayesian_belief_network_risk_models,Bayesian belief-network risk models,forecasting_dynamics,split_branch,6 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,6 records from provisional label contact_network_models resolve to final design concept bayesian_belief_network_risk_models; decision is discovery-stage and preserves failed/null designs.
CMS-014,contact_network_models -> contact_network_models,Contact-network transmission models,spatial_transmission,split_branch,60 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,60 records from provisional label contact_network_models resolve to final design concept contact_network_models; decision is discovery-stage and preserves failed/null designs.
CMS-015,contact_network_models -> exposure_pathway_network_models,Exposure-pathway network models,spatial_transmission,split_branch,1 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,1 records from provisional label contact_network_models resolve to final design concept exposure_pathway_network_models; decision is discovery-stage and preserves failed/null designs.
CMS-016,contact_network_models -> genomic_epidemiology_transmission,Genomic epidemiology and transmission reconstruction,spatial_transmission,split_branch,2 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,2 records from provisional label contact_network_models resolve to final design concept genomic_epidemiology_transmission; decision is discovery-stage and preserves failed/null designs.
CMS-017,contact_network_models -> gravity_radiation_mobility_models,"Gravity, radiation, and mobility models",spatial_transmission,split_branch,1 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,1 records from provisional label contact_network_models resolve to final design concept gravity_radiation_mobility_models; decision is discovery-stage and preserves failed/null designs.
CMS-018,contact_network_models -> mechanistic_statistical_hybrids,Mechanistic-statistical hybrid models,forecasting_dynamics,split_branch,1 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,1 records from provisional label contact_network_models resolve to final design concept mechanistic_statistical_hybrids; decision is discovery-stage and preserves failed/null designs.
CMS-019,contact_network_models -> neural_network_prediction_models,Neural-network diagnostic and forecasting models,surveillance_measurement,split_branch,22 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,22 records from provisional label contact_network_models resolve to final design concept neural_network_prediction_models; decision is discovery-stage and preserves failed/null designs.
CMS-020,contact_network_models -> neural_network_predictive_models,Neural-network predictive models,spatial_transmission,split_branch,2 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,2 records from provisional label contact_network_models resolve to final design concept neural_network_predictive_models; decision is discovery-stage and preserves failed/null designs.
CMS-021,contact_network_models -> phylogenetic_contact_network_inference,Phylogenetic and phylodynamic contact-network inference,spatial_transmission,split_branch,8 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,8 records from provisional label contact_network_models resolve to final design concept phylogenetic_contact_network_inference; decision is discovery-stage and preserves failed/null designs.
CMS-022,contact_network_models -> public_health_implementation_networks,Public-health implementation network systems,spatial_transmission,split_branch,2 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,2 records from provisional label contact_network_models resolve to final design concept public_health_implementation_networks; decision is discovery-stage and preserves failed/null designs.
CMS-023,contact_network_models -> sequence_similarity_network_models,Sequence-similarity network models,spatial_transmission,split_branch,1 assigned records; dual-reader outputs and blind conflict adjudication manifests for source batch,task6-canonical-integrator,1 records from provisional label contact_network_models resolve to final design concept sequence_similarity_network_models; decision is discovery-stage and preserves failed/null designs.
