candidate_key,source_row_sha256,primary_decision,primary_proposed_record_type,primary_reason_code,primary_reason,primary_reviewer,batch_id,retained_candidate_key
PMID:30192398,78e94f9d8732d4b5a615f487ca73d4547975a9d3bc0d359ea11aeae7c34389a2,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,The prospective sentinel-surveillance application estimates astrovirus prevalence and epidemiological associations among hospitalized children.,codex-cli-task5-fix3-reader-a-019f826e-09d7-7042-a839-950d02b64d69,W01-BATCH-011,
PMID:30211175,3cfef945f8035b0842dede4245ccc31cd29f4c8f48f70bd3c16235cec7105ebd,include_simulation_or_mechanistic_lead,method_source,I_SIMULATION_MECHANISTIC,The simulation study evaluates bias and precision of capture-recapture epidemiological estimators under infection-state uncertainty.,codex-cli-task5-fix3-reader-a-019f826e-09d7-7042-a839-950d02b64d69,W01-BATCH-011,
PMID:30212443,986f38d97d47b1b5ca94d9621003395faa89b9f4360ddabe513551d32e4bb86e,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,The report documents implementation and case classification within a new congenital-rubella sentinel-surveillance network.,codex-cli-task5-fix3-reader-a-019f826e-09d7-7042-a839-950d02b64d69,W01-BATCH-011,
PMID:30226160,7c6096cc080d5ecf94cf08e4bc81cc6cb68fbded1638d36749eed892292d49d1,include_method_source_lead,method_source,I_METHOD_SOURCE,The study prospectively evaluates an integrated local influenza nowcasting method across five years.,codex-cli-task5-fix3-reader-a-019f826e-09d7-7042-a839-950d02b64d69,W01-BATCH-011,
PMID:30226725,0c3b0fdc813f9c659e6b5c36b8cee27a3a70db5f3d00e2dfd2a1f9a972077e9e,exclude,,X_NOT_INFECTIOUS_TRANSFERABLE,This injury surveillance study concerns opioid poisonings and does not establish a concrete infectious-disease application or transfer route.,codex-semantic-primary-011,W01-BATCH-011,
PMID:30235943,72a6c136f5ac10a06b8b7a5507ba16d4a548ed6648d8d67eda818f8297390a43,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,The study applies latent-class analysis to identify syndemic profiles associated with HIV testing prevalence.,codex-cli-task5-fix3-reader-a-019f826e-09d7-7042-a839-950d02b64d69,W01-BATCH-011,
PMID:30248559,0af6af1e5fd02c15a0d8d93f49dbbc61a3d68d9e44e24478b194010366b01ed5,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,The latent-class application identifies polysubstance-use profiles relevant to tailored HIV and hepatitis prevention among men.,codex-cli-task5-fix3-reader-a-019f826e-09d7-7042-a839-950d02b64d69,W01-BATCH-011,
PMID:30253620,ae57aad358443a756244375d0108dab04302bf8f38d934279060c9dd302e3ab9,include_simulation_or_mechanistic_lead,method_source,I_SIMULATION_MECHANISTIC,The simulation study compares objective measures for optimizing sentinel surveillance on infectious contact networks.,codex-cli-task5-fix3-reader-a-019f826e-09d7-7042-a839-950d02b64d69,W01-BATCH-011,
PMID:30291376,4428c6fc33c6680cd210a0de6c802bbf345b108b6cd648a828726b9a91fbae2c,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,This secondary analysis validates latent-class patient stratification in an infection-associated clinical cohort.,codex-cli-task5-fix3-blind-019f82aa-9d39-76f2-bc5c-30db827bd6a9,W01-BATCH-011,
PMID:30304712,8258d168758c10dd636946db1656dcdd10fabd71d02e41ef807a922c8139dd2a,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,The study applies latent-class and structural-equation models to characterize HIV and hepatitis transmission-risk profiles.,codex-cli-task5-fix3-reader-a-019f826e-09d7-7042-a839-950d02b64d69,W01-BATCH-011,
PMID:30359095,9c4a11ab8a3147b054898b34dc418b11e89159f7868ff6dfc5bde3f99a135335,include_applied_seed,applied_seed,I_APPLIED_TRANSFERABLE_DESIGN,The latent-class application identifies substance-use profiles linked to sexual risk and HIV prevention practices.,codex-cli-task5-fix3-reader-a-019f826e-09d7-7042-a839-950d02b64d69,W01-BATCH-011,
