candidate_key,source_row_sha256,primary_decision,primary_proposed_record_type,primary_reason_code,primary_reason,primary_reviewer,batch_id,retained_candidate_key
PMID:37757864,1e6a1d81bc3c9a6b9bb161e811eb51cd198231874f444488d77749aecb5ac961,exclude,,X_DUPLICATE,The exact identifier PMID:37757864 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:37757864
PMID:40297938,decc77bd60117d7507dd2b788883dc0f86f53fe8c6b773d71473a1e9efa32f3c,exclude,,X_DUPLICATE,The exact identifier PMID:40297938 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:40297938
PMID:40492009,cabc7e504d49806440b08e9a0306c7f144bfea6bdc4079d39023b2d3a99d9875,exclude,,X_DUPLICATE,The exact identifier PMID:40492009 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:40492009
PMID:41002006,2712e2eadf0aec63cb7aff9016b94e1cb5e4f19b4d6511e960057d26b945328f,exclude,,X_DUPLICATE,The exact identifier PMID:41002006 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:41002006
PMID:21636172,61f6147e145e28fc868cbeaac8fc0374074180b23700979bd94c7521a6f71fbc,exclude,,X_DUPLICATE,The exact identifier PMID:21636172 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:21636172
PMID:22515989,29712f91bcc6e7cda9af916a93691deeda135ac1e01645a540df09539259baf7,exclude,,X_DUPLICATE,The exact identifier PMID:22515989 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:22515989
PMID:23337238,9fc47573a2b5c33c33313492b5fc707a08fe913efc2268eba77f826902a77e92,exclude,,X_DUPLICATE,The exact identifier PMID:23337238 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:23337238
PMID:23691004,5be4f298ba22220cfdb3966b38b5db9649433b9782c7137003df49beb8e25791,exclude,,X_DUPLICATE,The exact identifier PMID:23691004 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:23691004
PMID:24013203,3b83d135b74986850edf703cc1c88fbee617940ed94f17d917a6a592e6fe2b7d,exclude,,X_DUPLICATE,The exact identifier PMID:24013203 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:24013203
PMID:24122943,77ec7715f2ee9924aa19c8ca5aa73a8f37a2d97d5d63c3710dd93e8c4a099a54,exclude,,X_DUPLICATE,The exact identifier PMID:24122943 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:24122943
PMID:25903221,d87a8411f8f74b0f447dfa56bca6bb484807ad95d7532cdb34d05260c8f9b817,exclude,,X_DUPLICATE,The exact identifier PMID:25903221 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:25903221
PMID:26583831,f5922902869c29d60e3bf52da5142b5fbe12da04fa2274cbaedd0a711a0c0c2b,exclude,,X_DUPLICATE,The exact identifier PMID:26583831 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:26583831
PMID:26700301,d9e2e0ef5d56789486b4bd1e2412b84218d2ce5fe90ac3e623f48bfcfe287826,exclude,,X_DUPLICATE,The exact identifier PMID:26700301 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:26700301
PMID:28057139,63fd98f6a70599ebd4380aa557095210b4a212ef7fcd196f187e9faba9e06dc3,exclude,,X_DUPLICATE,The exact identifier PMID:28057139 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:28057139
PMID:28723872,371ccd84f5b268503cdd6ad8cd79ebab11b99c9bf93bbd32fe437668299bf511,exclude,,X_DUPLICATE,The exact identifier PMID:28723872 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:28723872
PMID:30500602,d61323ea83a29741350ca547bc5ff94dd2b4ba1199f7804f7ec0abe7f980c27f,exclude,,X_DUPLICATE,The exact identifier PMID:30500602 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:30500602
PMID:30511608,a2f616be2327e195d3bfc2e904b378d3da52a914e5ab940097e77ea74464b6b6,exclude,,X_DUPLICATE,The exact identifier PMID:30511608 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:30511608
PMID:31205290,be860eb628fed9382fcb40989a1d747efe48cafcd4fb88a140e3065b454302f3,exclude,,X_DUPLICATE,The exact identifier PMID:31205290 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:31205290
PMID:31290184,5a7c488089a195e09a26dfaaea80412e7d7ffbc036570ff37a2cfe0bed4301a4,exclude,,X_DUPLICATE,The exact identifier PMID:31290184 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:31290184
PMID:31592867,860d199049176118f6253ddd0dbdfcde91f70bfed0daa5c15f353e193e874623,exclude,,X_DUPLICATE,The exact identifier PMID:31592867 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:31592867
PMID:31595876,194d1a23cb170c119ab54b9feea8412a991b6208eeefbcca416cbd6fb931cedd,exclude,,X_DUPLICATE,The exact identifier PMID:31595876 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:31595876
PMID:32098641,2bb0416477f309b792f21fefdaff908f47866026516449b53c555f24529e9160,exclude,,X_DUPLICATE,The exact identifier PMID:32098641 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:32098641
PMID:32584859,5a073b14ebf36402610557790f33dec0f0c2dfeb90ee7a1db0006117d203272a,exclude,,X_DUPLICATE,The exact identifier PMID:32584859 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:32584859
PMID:32920842,598c72744858c46ab37a115b01ed34bcf625e1b6b29cec8c8e81f13790352518,exclude,,X_DUPLICATE,The exact identifier PMID:32920842 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:32920842
PMID:33151162,bd5179d3ef3976c6b35aaace9e490fa50d6bcc52437a8a4025d7930fe473a564,exclude,,X_DUPLICATE,The exact identifier PMID:33151162 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:33151162
PMID:33211202,d88f6fb7c485455222ae9a86f6facebac7586524007f8fc9b1e0d308b9e786d2,exclude,,X_DUPLICATE,The exact identifier PMID:33211202 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:33211202
PMID:33397322,db2a774d42e81c125f4865687a3bb6a5fa4124bca02be601c831dcb92e6ba25d,exclude,,X_DUPLICATE,The exact identifier PMID:33397322 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:33397322
PMID:33511390,8665177987161a0c93c918b05fd9c1f675f740fc63b6839a84a9056a33faa20d,exclude,,X_DUPLICATE,The exact identifier PMID:33511390 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:33511390
PMID:33676498,e3d24fe2dc11c453c38b3280573823aa2b0adbca74e1bc3bcd17bc7091e9851f,exclude,,X_DUPLICATE,The exact identifier PMID:33676498 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:33676498
PMID:35176766,10884768a0169bae978fccc97131dc6b3094c63dc1f11e3a363e2bec66f4c94d,exclude,,X_DUPLICATE,The exact identifier PMID:35176766 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:35176766
PMID:35259679,212ca6d0c8fe129912635fb033780a18cf2843c93053199fbd39abad214d7349,exclude,,X_DUPLICATE,The exact identifier PMID:35259679 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:35259679
PMID:35444988,dcbc0e6c2cb893ad51adbf20d6bf6f44e0392ca2e0c93cc118c641abc96a32d3,exclude,,X_DUPLICATE,The exact identifier PMID:35444988 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:35444988
PMID:35601481,7ace939712f12a56da59d65a7aeff1ca196c07372b7ea35253df5201c8bd6f63,exclude,,X_DUPLICATE,The exact identifier PMID:35601481 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:35601481
PMID:35728904,5f3241283a01c97255fc6ae019267d0d91c85def30e47c3617d4f2571b30b65c,exclude,,X_DUPLICATE,The exact identifier PMID:35728904 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:35728904
PMID:36477048,6b0b0f49930e5e9768a2f014bbdeb011947b230ce2d5b38de201feeafd50b13c,exclude,,X_DUPLICATE,The exact identifier PMID:36477048 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:36477048
PMID:36639234,157e7788840e513ba1f903d0a974cedfed487e4b099f973c7fb5a5e98aaedeaf,exclude,,X_DUPLICATE,The exact identifier PMID:36639234 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:36639234
PMID:36962831,3824dd621cbb5377c6e6be027f15613098d6a17a1ddb6d595e0b0808b0b441ed,exclude,,X_DUPLICATE,The exact identifier PMID:36962831 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:36962831
PMID:38626217,b186e4c13ead07399a41e0e3ab65433082a2db42dd36f14e0b632698bccd946c,exclude,,X_DUPLICATE,The exact identifier PMID:38626217 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:38626217
PMID:39724056,8daffb6499c36d8a25172815789686198e9cbd6800bdb8a60ef5c7efee75f335,exclude,,X_DUPLICATE,The exact identifier PMID:39724056 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:39724056
PMID:40172553,f3d06200fa9720734165bf92c3dd0ba4783355ffd76faba52ccc6a8ef8fc6a7b,exclude,,X_DUPLICATE,The exact identifier PMID:40172553 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:40172553
PMID:40754050,2e8d48a57ff4c7d3dccc7d9f3635fad0fe18c207ec340817071868ef712517fc,exclude,,X_DUPLICATE,The exact identifier PMID:40754050 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:40754050
PMID:40975107,e417bbc03b20a02f0d7518f2e8c0ff4838155768bf942b7b305df9ea7a826835,exclude,,X_DUPLICATE,The exact identifier PMID:40975107 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:40975107
PMID:41033277,0bc5c0491de82b8cff06065ef5d7a067fe579de2f945559801d616a17b50cdaf,exclude,,X_DUPLICATE,The exact identifier PMID:41033277 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:41033277
PMID:41210184,ecbb4e356846817c84b5c7e6a5e1efdd912de027f361f95a12a7f83928c745c2,exclude,,X_DUPLICATE,The exact identifier PMID:41210184 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:41210184
PMID:41623628,63d81fcd95929c62ffc9f8d11785d66060eb5f781faf795cfadd441abd8f5dd7,exclude,,X_DUPLICATE,The exact identifier PMID:41623628 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:41623628
PMID:41998049,0ea28b8e2d39995aaaf433c483aba8e903cf992e8c5c709f273f642097559130,exclude,,X_DUPLICATE,The exact identifier PMID:41998049 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:41998049
PMID:42169182,cde45b9b2903047652f8c7696bd67d868f18e38f68920e0faa05e6bc66afbbbb,exclude,,X_DUPLICATE,The exact identifier PMID:42169182 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:42169182
PMID:21320643,0023ac28e41bee224e893764ef56a20f81a741718aa5f973a3f21545a7a76de6,exclude,,X_DUPLICATE,The exact identifier PMID:21320643 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:21320643
PMID:22251065,4ea6596cbf77611fb547c75b751263f18b6600c582e6c3a357a54a26b9100c58,exclude,,X_DUPLICATE,The exact identifier PMID:22251065 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:22251065
PMID:22364163,5cd367296f267b646ae226602b621e4198a564c390358d4704a8b84336975f7d,exclude,,X_DUPLICATE,The exact identifier PMID:22364163 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:22364163
PMID:23884365,739963f100240de5103f80e7e2bea943e5772282c1a08368955a0e1b3f924a0e,exclude,,X_DUPLICATE,The exact identifier PMID:23884365 was already screened in Wave 1 and is retained there under the same candidate key.,identifier-dedup-primary-v1,W02-ID-DUP-001,PMID:23884365
