query_id,named_source_id,method_label,canonical_name,family,source_role,source,query_variant,query,seed_candidate_keys,reviewer
SEARCH-20260720-LINEAGE-CAUSAL-01,NS-CAUSAL-001,adaptive_multi_arm_multi_stage_cluster_randomized_trial,Adaptive multi-arm multi-stage cluster randomized trial,causal_policy,infectious_application,pubmed,exact_title,HIV[Title] AND self[Title] AND testing[Title] AND alone[Title] AND additional[Title] AND interventions[Title] AND financial[Title] AND incentives[Title] AND linkage[Title] AND care[Title] AND prevention[Title] AND male[Title] AND partners[Title] AND antenatal[Title] AND clinic[Title] AND attendees[Title] AND Malawi[Title] AND adaptive[Title] AND multi[Title] AND arm[Title] AND stage[Title] AND cluster[Title] AND randomised[Title] AND trial[Title],PMID:30601823,task6-lineage-corrected-exact-title
SEARCH-20260720-LINEAGE-CAUSAL-02,NS-CAUSAL-002,applied_randomized_intervention_studies,Applied randomized intervention studies,causal_policy,authoritative_candidate,pubmed,exact_title,Adaptive[Title] AND Intervention[Title] AND Trial[Title] AND Design[Title] AND Finding[Title] AND Optimal[Title] AND Integrated[Title] AND Strategies[Title] AND Malaria[Title] AND Control[Title] AND Elimination[Title] AND Africa[Title] AND Model[Title] AND Simulation[Title] AND Study[Title],PMID:34491227,task6-lineage-corrected-exact-title
SEARCH-20260720-LINEAGE-CAUSAL-03,NS-CAUSAL-003,applied_randomized_intervention_studies,Applied randomized intervention studies,causal_policy,infectious_application,pubmed,exact_title,Effect[Title] AND outpatient[Title] AND antimicrobial[Title] AND stewardship[Title] AND intervention[Title] AND broad[Title] AND spectrum[Title] AND antibiotic[Title] AND prescribing[Title] AND primary[Title] AND care[Title] AND pediatricians[Title] AND randomized[Title] AND trial[Title],PMID:23757082,task6-lineage-corrected-exact-title
SEARCH-20260720-LINEAGE-CAUSAL-04,NS-CAUSAL-004,bayesian_data_fusion_for_pooled_sampling_prevalence,Bayesian data fusion for pooled-sampling prevalence,causal_policy,authoritative_candidate,pubmed,exact_title,Estimating[Title] AND viral[Title] AND prevalence[Title] AND data[Title] AND fusion[Title] AND adaptive[Title] AND two[Title] AND phase[Title] AND pooled[Title] AND sampling[Title],PMID:34707835,task6-lineage-corrected-exact-title
SEARCH-20260720-LINEAGE-CAUSAL-05,NS-CAUSAL-005,bridged_treatment_comparison_data_fusion,Bridged treatment comparison via data fusion,causal_policy,authoritative_candidate,pubmed,exact_title,Bridged[Title] AND treatment[Title] AND comparisons[Title] AND illustrative[Title] AND application[Title] AND HIV[Title],PMID:39218437,task6-lineage-corrected-exact-title
SEARCH-20260720-LINEAGE-CAUSAL-06,NS-CAUSAL-006,intervention_and_economic_decision_models,Causal and economic evaluations under incomplete ascertainment,causal_policy,authoritative_candidate,pubmed,exact_title,Cost[Title] AND effectiveness[Title] AND adolescent[Title] AND pertussis[Title] AND vaccination[Title] AND Netherlands[Title] AND using[Title] AND individual[Title] AND based[Title] AND dynamic[Title] AND model[Title],PMID:20976213,task6-lineage-corrected-exact-title
SEARCH-20260720-LINEAGE-CAUSAL-07,NS-CAUSAL-007,intervention_and_economic_decision_models,Causal and economic evaluations under incomplete ascertainment,causal_policy,infectious_application,pubmed,exact_title,Cost[Title] AND effectiveness[Title] AND analysis[Title] AND various[Title] AND pertussis[Title] AND vaccination[Title] AND strategies[Title] AND primarily[Title] AND aimed[Title] AND protecting[Title] AND infants[Title] AND Netherlands[Title],PMID:20728761,task6-lineage-corrected-exact-title
SEARCH-20260721-LINEAGE-CAUSAL-07,NS-CAUSAL-007,intervention_and_economic_decision_models,Causal and economic evaluations under incomplete ascertainment,causal_policy,infectious_application,pubmed,title_first_author,effectiveness[Title] AND vaccination[Title] AND Netherlands[Title] AND strategies[Title] AND Westra[Author],PMID:20728761,task6-lineage-title-author-v3-supplement
SEARCH-20260720-LINEAGE-CAUSAL-08,NS-CAUSAL-008,causal_interference_estimands,Causal estimands for vaccination under transmission interference,causal_policy,authoritative_candidate,pubmed,exact_title,Defining[Title] AND Estimating[Title] AND Outcomes[Title] AND Directly[Title] AND Averted[Title] AND Vaccination[Title] AND Program[Title] AND when[Title] AND Rollout[Title] AND Occurs[Title] AND Over[Title] AND Time[Title],PMID:41570185,task6-lineage-corrected-exact-title
SEARCH-20260721-LINEAGE-CAUSAL-08,NS-CAUSAL-008,causal_interference_estimands,Causal estimands for vaccination under transmission interference,causal_policy,authoritative_candidate,pubmed,title_first_author,Vaccination[Title] AND Estimating[Title] AND Defining[Title] AND Outcomes[Title] AND Jia[Author],PMID:41570185,task6-lineage-title-author-v3-supplement
SEARCH-20260720-LINEAGE-CAUSAL-09,NS-CAUSAL-009,causal_mediation_analysis,Causal mediation analysis,causal_policy,authoritative_candidate,pubmed,exact_title,G[Title] AND Computation[Title] AND Causal[Title] AND Mediation[Title] AND Analysis[Title] AND Sequential[Title] AND Multiple[Title] AND Mediators[Title] AND Investigating[Title] AND Vulnerable[Title] AND Time[Title] AND Window[Title] AND HBV[Title] AND Activity[Title] AND Mechanism[Title] AND HCV[Title] AND Induced[Title] AND Hepatocellular[Title] AND Carcinoma[Title],PMID:35071157,task6-lineage-corrected-exact-title
SEARCH-20260720-LINEAGE-CAUSAL-10,NS-CAUSAL-010,causal_mediation_analysis,Causal mediation analysis,causal_policy,infectious_application,pubmed,exact_title,Does[Title] AND Partner[Title] AND Selection[Title] AND Mediate[Title] AND Relationship[Title] AND Between[Title] AND School[Title] AND Attendance[Title] AND HIV[Title] AND Herpes[Title] AND Simplex[Title] AND Virus[Title] AND 2[Title] AND Adolescent[Title] AND Girls[Title] AND Young[Title] AND Women[Title] AND South[Title] AND Africa[Title] AND Analysis[Title] AND Prevention[Title] AND Trials[Title] AND Network[Title] AND 068[Title] AND Data[Title],PMID:29847479,task6-lineage-corrected-exact-title
